Feature,Data_Type,Category,Sub_Category,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947
CIL56 (CTRP:100490),num,Drug Screen,CTD2,,,11.13,,,,,,11.482,14.17,11.481,10.242,14.032,11.995,12.026,11.536,,11.732,12.449,13.93,,13.98,,14.03,11.39,12.119,13.445,,11.889,12.201
FQI-1 (CTRP:102193),num,Drug Screen,CTD2,,,12.383,,,,,,13.719,14.148,12.796,12.478,13.024,14.351,13.492,12.483,,13.159,11.306,13.269,,13.219,,12.298,13.578,12.034,13.641,,13.679,12.682
BRD-K92856060 (CTRP:119769),num,Drug Screen,CTD2,13.465,15.259,13.075,12.735,14.408,14.539,14.322,15.68,14.632,14.003,13.667,15.668,13.618,14.082,13.838,10.4,14.767,13.654,14.146,14.923,14.021,14.512,14.63,14.545,14.847,13.973,14.647,13.159,14.42,14.111
B02 (CTRP:122255),num,Drug Screen,CTD2,12.534,13.478,13.286,12.14,14.174,13.821,10.815,13.367,14.565,13.36,12.846,12.527,14.731,14.401,14.562,15,13.676,13.192,12.523,13.224,11.371,13.135,13.423,13.352,13.907,13.295,14.295,13.264,15.224,14.684
BRD6340 (CTRP:12877),num,Drug Screen,CTD2,13.99,14.843,13.9815,14.259,14.996,14.616,14.675,14.684,14.235,14.759,14.463,14.563,14.699,14.813,14.438,15.895,14.785,14.514,13.513,14.379,13.568,14.68,14.778,14.616,14.296,14.224,14.086,,14.629,14.407
BRD-K45681478 (CTRP:142931),num,Drug Screen,CTD2,14.044,14.396,13.643,12.136,12.781,12.4,13.419,13.674,14.967,13.998,12.312,14.022,14.049,15.82,14.09,14.094,13.12,13.352,11.915,13.75,13.654,13.844,14.184,10.882,13.775,13.774,14.16,12.601,15.905,12.811
ML050 (CTRP:153820),num,Drug Screen,CTD2,14.509,15.891,13.682,14.033,14.792,14.329,14.475,14.643,15.38,15.53,14.554,15.573,14.692,15.429,14.854,13.73,13.295,14.715,14.262,14.716,15.437,15.71,14.807,14.332,14.52,14.934,14.426,,14.712,14.84
ML162 (CTRP:154846),num,Drug Screen,CTD2,10.397,9.6939,8.2841,6.909,6.4905,11.204,10.401,11.842,6.7913,7.9181,8.6369,5.1242,9.322,7.0633,7.1723,7.5854,7.6251,7.269,10.943,7.0362,2.6479,11.399,10.77,12.412,7.4522,8.5749,11.04,5.7824,5.5378,6.9846
CIL41 (CTRP:176181),num,Drug Screen,CTD2,,,14.379,,,,,,12.813,14.606,12.454,10.768,14.252,14.662,14.389,,,14.31,13.605,14.407,,14.711,,15.533,14.646,12.835,14.581,,12.991,13.384
ML006 (CTRP:17712),num,Drug Screen,CTD2,12.633,15.758,13.534,13.892,14.714,14.14,13.385,15.046,15,14.823,12.643,15.101,14.893,15.274,14.665,14.585,13.933,14.854,11.906,14.723,13.982,14.842,13.359,14.67,15.115,13.418,15,16.51,15.313,14.798
CIL55 (CTRP:1788),num,Drug Screen,CTD2,,,13.353,,,,,,14.442,14.656,13.933,14.614,14.534,14.725,14.773,16.685,,,,13.733,,,,14.142,13.742,,14.067,,14.625,14.514
NSC30930 (CTRP:182395),num,Drug Screen,CTD2,14.474,14.779,14.003,14.228,14.121,15.765,13.89,14.728,14.124,12.969,15.276,15.733,14.635,14.482,14.732,14.161,13.343,15.455,14.756,14.326,14.518,14.953,14.345,14.674,14.337,17.222,14.761,15.787,15.205,15.448
BAX CHANNEL BLOCKER (CTRP:18311),num,Drug Screen,CTD2,,14.66,13.7975,12.178,14.496,14.374,13.364,14.357,14.654,14.382,12.862,14.591,14.12,14.365,14.203,12.179,13.385,,12.776,14.351,14.319,14.387,14.335,13.087,13.268,14.352,13.588,14.65,14.269,13.272
CIL70 (CTRP:183526),num,Drug Screen,CTD2,,,12.535,,,,,,14.357,13.147,13.171,10.726,13.638,12.885,14.736,13.068,,13.033,12.751,13.78,,14.112,,14.473,13.125,13.437,15.317,,14.019,11.758
MI-1 (CTRP:185987),num,Drug Screen,CTD2,14.859,16.224,14.8535,,15.104,15.278,14.944,15.82,14.621,15.365,15.523,15.947,14.456,15.564,15.049,15.032,14.902,13.414,14.671,15.425,14.667,14.95,15.42,14.679,14.787,15.23,14.897,17.227,15.934,14.833
BRD9876 (CTRP:19153),num,Drug Screen,CTD2,12.623,13.922,14.603,12.232,14.638,14.382,11.914,13.591,14.954,14.356,14.599,13.975,16.305,15.183,15,15,14.182,14.874,10.433,15.727,13.215,14.746,13.232,15,17.633,13.823,15,14.109,15.075,15
DBEQ (CTRP:199337),num,Drug Screen,CTD2,11.547,11.567,11.777,9.1377,11.747,11.846,11.567,11.384,13.325,12.805,12.276,13.258,11.829,13.305,12.76,12.903,11.498,12.443,11.649,11.621,11.366,12.428,11.731,12.79,16.566,11.448,15.814,,12.779,12.094
