"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000132","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000704","ACH-000713","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001418","ACH-001630","ACH-002140","ACH-002149","ACH-002181","ACH-002182"
"AICA RIBONUCLEOTIDE (GDSC1:1001)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.043289,10.938895,9.945942,NA,10.185704,NA,NA,NA,NA,10.618822,10.719504,NA,NA,NA,NA,NA,NA,10.634116,7.409612,NA,NA
"VELBAN (GDSC1:1004)_IC50","num","Drug Screen","GDSC1_IC50",-8.436349,-7.487324,-4.891624,NA,-5.572086,NA,-7.055689,NA,NA,-5.807412,NA,NA,-7.964235,-6.658118,NA,-6.917742,NA,NA,NA,NA,-7.727578,-5.293373,-6.758387,-5.68586,-6.074836,-7.71691,NA,-7.078634,-8.053727,-4.2446,NA,NA
"CIS-DDP (GDSC1:1005)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,2.091239,3.287601,NA,NA,3.157531,NA,NA,NA,NA,NA,2.872931,3.037116,NA,NA,NA,NA,NA,NA,1.950797,3.250182,NA,NA,2.702035,0.791658,NA,NA,NA,NA,NA,NA
"CYTARABINE (GDSC1:1006)_IC50","num","Drug Screen","GDSC1_IC50",NA,0.00716095,-1.17658211,NA,-0.34157311,NA,0.66299044,NA,NA,NA,NA,NA,-1.27692407,0.51453578,NA,-2.19057726,NA,NA,NA,NA,-1.2031924,-1.6153288,-1.8309882,-0.75735751,-0.50148051,-1.35486626,NA,-0.64441454,-2.7043199,NA,NA,NA
"DOCETAXEL (GDSC1:1007)_IC50","num","Drug Screen","GDSC1_IC50",-7.275349,-7.635826,-6.381119,NA,-7.647135,NA,-7.062556,NA,NA,NA,NA,NA,-7.514023,NA,-6.62455,-8.285928,NA,NA,NA,NA,-9.049595,NA,-6.635231,-8.692299,-7.014941,-10.084604,NA,-6.925749,-9.392111,-6.847439,NA,NA
"ABITREXATE (GDSC1:1008)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.169504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAVITOCLAX (GDSC1:1011)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,0.450119,NA,0.849076,NA,NA,NA,-4.8587116,NA,NA,NA,0.4233891,NA,NA,0.7148148,NA,0.1256976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MK-0683 (GDSC1:1012)_IC50","num","Drug Screen","GDSC1_IC50",NA,0.45744514,1.94369969,2.93125506,2.7347059,0.74775814,1.33274802,NA,NA,0.2721258,NA,3.12880224,2.69434439,1.12682575,2.26708682,1.26562357,1.67894817,NA,2.2189267,2.96674233,0.65876985,1.76512366,-0.13747828,1.74432647,-0.02284498,-0.75254076,3.24079709,2.52780269,0.31871847,NA,2.28432097,1.98679254
"BAY 869766 (GDSC1:1014)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,0.3660741,-2.1113152,-0.2241363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0064981,NA,NA,-0.9388289,NA,NA,NA,0.3592546,NA,1.1428525,NA
"212631-79-3 (GDSC1:1015)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,2.730375,-0.3128733,-0.7397668,NA,NA,NA,NA,NA,1.7624945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.466981,2.9385654,NA,NA,2.0583225,NA,NA,NA
"AY-22989 (GDSC1:1016)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,-8.048895,NA,NA,NA,NA,NA,-2.335927,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.581632,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOSULIF (GDSC1:1019)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1453633,NA,NA,NA,NA,NA,NA,-0.2331186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
