Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000132,ACH-000291,ACH-000430,ACH-000443,ACH-000524,ACH-000527,ACH-000574,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001063,ACH-001151,ACH-001374,ACH-001418,ACH-001630,ACH-002140,ACH-002149,ACH-002181,ACH-002182
AICA RIBONUCLEOTIDE (GDSC1:1001)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,10.04328888,10.93889472,9.945941994,,10.18570391,,,,,10.61882206,10.71950383,,,,,,,10.63411578,7.409611655,,
VELBAN (GDSC1:1004)_Sanger,num,Drug Screen,GDSC1_Sanger,-8.436348808,-7.487323626,-4.891624199,,-5.572085956,,-7.055689019,,,-5.807412495,,,-7.964235158,-6.658117729,,-6.917742441,,,,,-7.727578046,-5.293372715,-6.758386556,-5.685859714,-6.074835853,-7.716910033,,-7.078634446,-8.053727325,-4.244600172,,
CIS-DDP (GDSC1:1005)_Sanger,num,Drug Screen,GDSC1_Sanger,,,2.091239386,3.287601209,,,3.157530508,,,,,,2.872930788,3.037116347,,,,,,,1.950797379,3.250181856,,,2.702034901,0.791658034,,,,,,
CYTARABINE (GDSC1:1006)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.00716095,-1.17658211,,-0.34157311,,0.662990438,,,,,,-1.276924075,0.514535778,,-2.19057726,,,,,-1.2031924,-1.615328796,-1.830988198,-0.757357506,-0.501480514,-1.354866262,,-0.644414544,-2.704319899,,,
DOCETAXEL (GDSC1:1007)_Sanger,num,Drug Screen,GDSC1_Sanger,-7.275348895,-7.635826215,-6.381119047,,-7.647135242,,-7.062555775,,,,,,-7.514022923,,-6.624550171,-8.285928434,,,,,-9.049595126,,-6.635231011,-8.692299431,-7.014940684,-10.08460369,,-6.925748562,-9.392111384,-6.847439475,,
ABITREXATE (GDSC1:1008)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,-3.169503949,,,,,,,,,,,,,,,,,,,
NAVITOCLAX (GDSC1:1011)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,0.450118951,,0.849075989,,,,-4.858711615,,,,0.423389141,,,0.714814814,,0.125697559,,,,,,,,,,,,,
MK-0683 (GDSC1:1012)_Sanger,num,Drug Screen,GDSC1_Sanger,,0.457445143,1.943699687,2.931255064,2.734705902,0.747758144,1.332748018,,,0.272125803,,3.128802244,2.694344386,1.126825749,2.267086816,1.265623572,1.678948174,,2.218926697,2.96674233,0.658769855,1.765123657,-0.137478284,1.744326466,-0.022844981,-0.752540758,3.240797089,2.527802693,0.318718473,,2.284320972,1.986792539
BAY 869766 (GDSC1:1014)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,0.366074081,-2.111315193,-0.224136344,,,,,,,,,,,,,,,1.006498062,,,-0.938828867,,,,0.359254578,,1.142852454,
212631-79-3 (GDSC1:1015)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,2.73037504,-0.312873276,-0.739766827,,,,,,1.762494467,,,,,,,,,,,,-0.466981038,2.93856539,,,2.058322536,,,
AY-22989 (GDSC1:1016)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,-8.048895353,,,,,,-2.335926638,,,,,,,,,,-6.581631881,,,,,,,,,
BOSULIF (GDSC1:1019)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,,-0.145363331,,,,,,,-0.233118555,,,,,,,,,,,
AG-13736 (GDSC1:1021)_Sanger,num,Drug Screen,GDSC1_Sanger,,,,,,,,,,,,,0.864803146,,,,,,,,0.965641101,,0.811403589,,,,,,,,,
