"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000696","ACH-000704","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001630","ACH-002140","ACH-002149","ACH-002181"
"(+)-CAMPTOTHECIN (GDSC2:1003)_IC50","num","Drug Screen","GDSC2_IC50",NA,-5.795864,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.704781,NA,NA,NA,NA,NA,NA,-5.133835,NA,-4.216217,NA,-4.311175,NA,NA,-6.077513,NA
"VELBAN (GDSC2:1004)_IC50","num","Drug Screen","GDSC2_IC50",NA,-8.277396,NA,NA,NA,-6.517358,NA,NA,NA,NA,NA,-8.568531,NA,-8.439541,NA,NA,NA,NA,-6.172286,NA,-6.305852,NA,NA,NA,NA,-7.946325,NA
"CIS-DDP (GDSC2:1005)_IC50","num","Drug Screen","GDSC2_IC50",NA,1.704363,NA,NA,NA,2.461195,NA,NA,NA,NA,NA,NA,NA,NA,1.730051,NA,NA,NA,2.152677,NA,NA,NA,NA,NA,NA,NA,NA
"CYTARABINE (GDSC2:1006)_IC50","num","Drug Screen","GDSC2_IC50",NA,-0.8608934,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2644752,NA,0.7803746,NA,NA,NA,NA,NA,NA,0.9686298,NA,NA,NA,-0.9716458,-0.9655714,NA
"DOCETAXEL (GDSC2:1007)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.158783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.024562,NA
"NAVITOCLAX (GDSC2:1011)_IC50","num","Drug Screen","GDSC2_IC50",2.150392662,NA,NA,-0.008254237,2.637562175,NA,2.911968752,NA,-0.526929346,NA,NA,3.065953863,NA,NA,NA,1.585622284,NA,NA,NA,NA,2.20702598,2.637652338,2.835094702,NA,NA,NA,NA
"MK-0683 (GDSC2:1012)_IC50","num","Drug Screen","GDSC2_IC50",3.2450748,1.766466,NA,2.7221184,NA,2.2988353,NA,2.9345826,3.2191161,NA,NA,2.0660621,NA,1.341992,2.6673493,1.8975353,3.2507534,NA,2.3806816,NA,2.7518834,2.4377814,0.7858721,NA,2.9327885,2.1770125,2.2198045
"AZD7762 (GDSC2:1022)_IC50","num","Drug Screen","GDSC2_IC50",1.86144511,0.74444967,NA,2.90061492,NA,-0.07790531,2.93759058,2.77488769,1.01962865,2.75367404,NA,-0.40496544,1.94244328,-1.39824148,NA,NA,2.42504631,0.17104464,-0.2997866,NA,-0.80301625,-0.98383271,0.87633406,NA,0.63266261,0.29556493,2.08323359
"AFATINIB (GDSC2:1032)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,3.262178,NA,NA,3.078169,NA,NA,0.9882078,NA,2.7382201,NA,2.6796901,NA,1.8096702,2.4890494,NA,2.7048293,NA,2.624202,NA,NA,3.252104,1.0392857
"681640 (GDSC2:1046)_IC50","num","Drug Screen","GDSC2_IC50",2.0545162,NA,NA,NA,NA,0.4192598,NA,NA,NA,NA,NA,1.918116,NA,1.2459091,NA,NA,NA,2.8377405,2.5792359,NA,1.0575237,NA,NA,NA,NA,NA,NA
"NUTLIN-3A (-) (GDSC2:1047)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.908291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIRIN (GDSC2:1048)_IC50","num","Drug Screen","GDSC2_IC50",NA,6.420697,NA,6.427188,NA,NA,NA,NA,NA,NA,NA,5.75045,NA,6.617329,NA,NA,NA,6.573934,6.571842,6.418184,6.563083,NA,5.063964,NA,NA,NA,NA
"ALISERTIB (GDSC2:1051)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7529557,NA,NA,NA,NA
"BEZ235 (GDSC2:1057)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,-4.794402,NA,NA,NA,NA,NA,-5.556536,NA,-3.625333,NA,NA,NA,NA,NA,NA,-4.62541,NA,NA,NA,NA,-5.804775,NA
"PICTILISIB (GDSC2:1058)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9406977,2.0175286,NA,NA,NA,NA,NA,NA,NA,2.0913976,NA,1.0698964,NA,3.3146783,1.2068124,1.7635482
"GX15-070 (GDSC2:1068)_IC50","num","Drug Screen","GDSC2_IC50",2.92538263,1.75533847,1.73739606,NA,2.78107262,2.74090435,NA,1.81278495,NA,NA,NA,0.20577307,NA,NA,2.7447711,NA,NA,0.59393226,2.35532198,-0.27162975,1.57245414,2.69754482,1.12076966,-0.07273109,NA,NA,NA
"DASATINIB (GDSC2:1079)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6993694,NA,NA,-4.6479959,NA,NA,NA,0.7914397,-2.8789473,NA
"PACLITAXEL (GDSC2:1080)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.87894,NA,-7.105233,NA,NA,NA,NA,NA,NA,-6.66372,NA,NA,NA,NA,NA,NA
