Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000291,ACH-000430,ACH-000443,ACH-000524,ACH-000527,ACH-000574,ACH-000617,ACH-000657,ACH-000663,ACH-000696,ACH-000704,ACH-000719,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001063,ACH-001151,ACH-001374,ACH-001630,ACH-002140,ACH-002149,ACH-002181
(+)-CAMPTOTHECIN (GDSC2:1003)_Sanger,num,Drug Screen,GDSC2_Sanger,,-5.795863916,,,,,,,,,,-3.70478136,,,,,,,-5.133834505,,-4.21621729,,-4.311174974,,,-6.077513389,
VELBAN (GDSC2:1004)_Sanger,num,Drug Screen,GDSC2_Sanger,,-8.277396105,,,,-6.517358101,,,,,,-8.568530543,,-8.439541193,,,,,-6.17228589,,-6.305851936,,,,,-7.946324816,
CIS-DDP (GDSC2:1005)_Sanger,num,Drug Screen,GDSC2_Sanger,,1.704363373,,,,2.46119534,,,,,,,,,1.73005082,,,,2.152676674,,,,,,,,
CYTARABINE (GDSC2:1006)_Sanger,num,Drug Screen,GDSC2_Sanger,,-0.860893425,,,,,,,,,,-1.264475165,,0.780374567,,,,,,,0.968629817,,,,-0.971645771,-0.965571439,
DOCETAXEL (GDSC2:1007)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,-8.158782791,,,,,,,,,,,,-9.024561985,
NAVITOCLAX (GDSC2:1011)_Sanger,num,Drug Screen,GDSC2_Sanger,2.150392662,,,-0.008254237,2.637562175,,2.911968752,,-0.526929346,,,3.065953863,,,,1.585622284,,,,,2.20702598,2.637652338,2.835094702,,,,
MK-0683 (GDSC2:1012)_Sanger,num,Drug Screen,GDSC2_Sanger,3.24507481,1.766466044,,2.722118353,,2.298835321,,2.93458263,3.219116053,,,2.066062134,,1.341991974,2.667349346,1.897535323,3.250753365,,2.380681591,,2.751883368,2.437781353,0.785872118,,2.932788477,2.177012455,2.219804519
AZD7762 (GDSC2:1022)_Sanger,num,Drug Screen,GDSC2_Sanger,1.861445114,0.744449672,,2.900614924,,-0.077905309,2.937590584,2.774887692,1.019628655,2.753674038,,-0.404965438,1.942443284,-1.398241476,,,2.425046308,0.171044638,-0.299786605,,-0.803016253,-0.983832706,0.87633406,,0.632662606,0.295564931,2.083233586
AFATINIB (GDSC2:1032)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,3.26217798,,,3.078168982,,,0.988207817,,2.738220093,,2.679690059,,1.809670207,2.489049436,,2.704829324,,2.624202024,,,3.252103973,1.039285729
681640 (GDSC2:1046)_Sanger,num,Drug Screen,GDSC2_Sanger,2.054516191,,,,,0.41925985,,,,,,1.918116029,,1.245909054,,,,2.837740488,2.579235946,,1.057523737,,,,,,
NUTLIN-3A (-) (GDSC2:1047)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,1.908290881,,,,,,,,,,,,,,,
MIRIN (GDSC2:1048)_Sanger,num,Drug Screen,GDSC2_Sanger,,6.42069749,,6.42718828,,,,,,,,5.750450379,,6.617328784,,,,6.573933673,6.571841782,6.418184132,6.563083465,,5.063963892,,,,
ALISERTIB (GDSC2:1051)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,,,,,,-0.752955699,,,,
BEZ235 (GDSC2:1057)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,-4.794401503,,,,,,-5.556536146,,-3.625332908,,,,,,,-4.625410197,,,,,-5.804774535,
PICTILISIB (GDSC2:1058)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,-0.94069765,2.017528616,,,,,,,,2.091397573,,1.069896402,,3.314678329,1.206812437,1.763548241
GX15-070 (GDSC2:1068)_Sanger,num,Drug Screen,GDSC2_Sanger,2.925382625,1.755338466,1.737396065,,2.781072623,2.740904352,,1.812784955,,,,0.205773065,,,2.744771096,,,0.593932261,2.355321985,-0.271629748,1.572454143,2.697544815,1.120769663,-0.072731091,,,
DASATINIB (GDSC2:1079)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,,,,,,,-1.699369352,,,-4.647995917,,,,0.791439698,-2.878947347,
PACLITAXEL (GDSC2:1080)_Sanger,num,Drug Screen,GDSC2_Sanger,,,,,,,,,,,,-6.878939999,,-7.105233042,,,,,,,-6.663719691,,,,,,
