"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000123","ACH-000132","ACH-000237","ACH-000256","ACH-000278","ACH-000291","ACH-000324","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000542","ACH-000608","ACH-000617","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000701","ACH-000704","ACH-000713","ACH-000719","ACH-000796","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001374","ACH-001628"
"ARV-825 (BRD:BRD-A00047421-001-01-7)_pri","num","Drug Screen","Prism Primary AUC",-1.2072815,-4.9977951,-2.7899861,NA,-2.5289154,-2.5198933,-3.4636795,-1.3130136,-1.2580489,NA,-2.1897832,-3.8277406,0.5255276,-1.5900732,-1.1257874,-1.1619294,-0.5074311,NA,-3.5265436,-1.3853225,-0.9491019,-7.0473151,-0.6623656,-3.6410967,-3.9537291,-0.4555579,-2.1930322,-0.9225981,-5.2093055,-2.0013303,-3.011009,-4.1914681,-1.0700558
"RS-0481 (BRD:BRD-A00055058-001-01-0)_pri","num","Drug Screen","Prism Primary AUC",0.515743393,-0.464281707,-0.135354765,0.062955338,-0.872819998,0.380731873,-0.145971904,-0.436068229,-0.07475523,-0.182534231,-0.145460768,0.864213311,0.201746247,-0.209153528,-0.130951681,-0.419700191,-0.008683442,NA,-0.040154288,-0.361915038,-0.16316405,-0.137071501,-0.001556559,-0.638625756,0.31692686,-0.706557448,-0.297691224,-0.234661498,0.308400381,-0.640162818,-0.368512846,NA,NA
"8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6)_pri","num","Drug Screen","Prism Primary AUC",-0.01557664,-0.901098806,0.023452116,-0.133516101,-0.155062347,0.003319969,-0.784786507,-0.184092523,-0.178479842,-1.164309826,-0.126569666,-0.492533362,-0.155219886,0.066884212,-0.580090545,0.002517276,-0.865370301,0.65564806,-0.515513047,0.095945681,-0.310273693,0.270744497,0.259389197,0.692912967,-0.89775026,-0.31227666,0.635562619,0.622571315,-1.468648481,-0.00293577,-1.784574225,NA,NA
"DOCUSATE (BRD:BRD-A00092689-236-04-9)_pri","num","Drug Screen","Prism Primary AUC",-0.39512253,0.29518226,-0.0242833,NA,-0.32106024,0.21838413,-0.29137777,-0.13456433,-0.28501216,NA,-0.217867,-0.2117894,0.18480458,0.36835959,-0.76278293,-0.06139704,0.39293454,NA,-0.29335796,-0.31959354,-0.62629749,-0.30836599,0.2030328,-0.24282013,-0.15503174,0.52251923,0.01673258,-0.0756624,-0.3846276,0.12969922,-0.29272368,0.15736752,-0.49337563
"NIFURTIMOX (BRD:BRD-A00100033-001-08-9)_pri","num","Drug Screen","Prism Primary AUC",-0.44933206,-1.08849821,-0.44252389,-0.04535024,-1.21437668,-0.1834287,-0.4389192,-0.63155357,0.11783441,0.21045227,0.31906275,-0.14322769,-0.62422008,0.28787564,-0.7040359,-0.7940652,-0.95526534,-0.79455789,-0.27181608,0.20395801,-0.34040904,-0.09073031,-0.14102218,0.02245705,-0.12777771,0.32096945,0.55987962,-0.0492433,-0.24072304,-0.57485594,-0.31512732,NA,NA
"BALAGLITAZONE (BRD:BRD-A00147595-001-01-5)_pri","num","Drug Screen","Prism Primary AUC",0.48937884,0.461292719,-0.005513677,0.539945862,-0.039333266,0.15673685,0.560532618,0.18586704,0.31262393,1.29364203,0.179915513,-0.84875899,0.320670234,-0.483002716,-0.387915404,-0.206923277,-1.018704416,0.15701744,-0.002653636,0.461506951,0.77400457,0.294524929,0.158139957,1.36116459,0.112179967,-0.187406827,0.26224443,0.076441823,0.371974641,-0.145385569,0.180479977,NA,NA
"FLUTRIMAZOLE (BRD:BRD-A00218260-001-03-4)_pri","num","Drug Screen","Prism Primary AUC",0.2066747,-0.04392098,0.54009678,-0.04986503,0.0600359,-0.45679148,-0.09589939,0.73188114,0.06768826,0.07685426,-0.55463525,-0.29922207,0.84970953,0.79236912,0.34668454,0.73305877,-0.29419092,0.06173061,-0.52448982,0.40260994,0.91077074,0.37437041,0.42297255,0.98479558,0.4827215,0.70247841,0.57030587,0.46065941,0.93698742,0.32465865,0.69003354,NA,NA
"KBG (BRD:BRD-A00376169-001-01-6)_pri","num","Drug Screen","Prism Primary AUC",0.272730076,-0.387045417,-0.694389706,-0.325349332,-0.412447065,-0.326089184,-0.386179423,-0.667517831,0.050066895,-1.430376796,-0.413572123,0.369679246,0.306849259,-0.50154284,-0.619280645,-0.006273093,-0.329646644,-0.385129989,-0.318776943,0.032748801,0.019386716,0.256177964,0.219330929,-0.440805345,0.381598898,0.215636228,0.428843123,-0.125882935,-0.63568618,-0.144859345,-0.526052696,NA,NA
"OTENZEPAD (BRD:BRD-A00520476-001-07-4)_pri","num","Drug Screen","Prism Primary AUC",0.02103611,0.15546758,0.39698329,0.26130221,0.54477943,0.40184251,0.4307604,0.25787087,-0.17743877,0.68326291,0.01877636,0.07922016,-0.20361131,0.37731886,0.64684153,0.848584,-0.11143049,0.5341447,0.10643754,0.30756694,0.24036219,0.38230783,0.23977047,0.29189819,-0.42180242,-0.04206569,0.59777919,0.01072915,0.36790663,-0.07900709,0.03852251,NA,NA
"BIPERIDEN (BRD:BRD-A00546892-001-02-6)_pri","num","Drug Screen","Prism Primary AUC",-0.02546043,0.11482027,-0.11572609,-0.30524685,-0.37736395,0.70129084,0.24314393,-0.08812002,0.25562885,1.05623878,0.30712648,1.26090941,-0.56129297,-0.2417983,0.01068896,0.43374411,-0.26013077,0.30073816,0.10037048,0.22786153,-0.21347166,-0.18657297,-0.01514378,-0.07452878,-0.05538895,0.59013249,0.33635273,-0.16012055,0.35447414,0.14133376,0.19293266,NA,NA
