"Feature","Data_Type","Category","Sub_Category","ACH-000048","ACH-000091","ACH-000123","ACH-000132","ACH-000237","ACH-000278","ACH-000324","ACH-000524","ACH-000527","ACH-000542","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000701","ACH-000704","ACH-000713","ACH-000719","ACH-000796","ACH-000811","ACH-000885","ACH-000906","ACH-000947"
"8-BROMO-CGMP (BRD:BRD-A00077618-236-07-6)_sec","num","Drug Screen","Prism Secondary",0.8985281,NA,0.8907681,0.965818,NA,NA,NA,NA,0.9827671,NA,NA,NA,NA,NA,NA,0.8972997,NA,NA,0.8714407,NA,NA,0.9489843,0.944649
"NORETYNODREL (BRD:BRD-A00758722-001-04-9)_sec","num","Drug Screen","Prism Secondary",0.9279654,0.8734215,NA,0.8766884,0.9016053,0.954183,0.8351197,0.8857729,0.9135455,NA,NA,0.8939582,NA,0.952536,0.9422935,NA,0.9279887,0.9112923,0.8749976,0.8760899,0.8893157,NA,NA
"PREDNISOLONE-ACETATE (BRD:BRD-A01643550-001-04-9)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,0.9984079,0.7617644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BETAMETHASONE (BRD:BRD-A02180903-001-04-5)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,0.8363517,NA,NA,NA,NA,0.8515462,NA,NA,NA,NA,NA,0.9251215,NA,0.9264227,NA,NA,NA
"MEPIVACAINE (BRD:BRD-A03216249-003-24-3)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,0.9774372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XL888 (BRD:BRD-A03506276-001-01-5)_sec","num","Drug Screen","Prism Secondary",0.5773044,0.5269938,0.5376531,0.5280186,0.564532,0.5703451,0.5475187,0.5349037,0.5685881,0.5690147,NA,0.591963,0.5848844,0.5595827,0.5914448,0.6048749,0.4502683,0.5360875,0.5462854,0.5682356,0.4530647,NA,NA
"METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3)_sec","num","Drug Screen","Prism Secondary",0.872113,0.946962,0.9237176,NA,0.9309756,0.9436975,0.9524276,0.9334882,NA,0.9802794,NA,0.8994445,NA,0.9618338,NA,NA,NA,NA,0.9833654,0.9561479,0.9202043,0.9624542,NA
"LAPPACONITE (BRD:BRD-A05906449-004-01-1)_sec","num","Drug Screen","Prism Secondary",0.8052075,0.8744367,0.8419337,0.858605,0.8247266,0.8449262,0.7922196,0.8868108,0.7778095,0.8352968,0.8261174,0.7502389,NA,0.8471947,0.9197365,NA,0.8543439,0.8506096,0.8371777,0.8512064,0.8147675,0.8471521,0.8583884
"TERFENADINE (BRD:BRD-A06352418-001-25-9)_sec","num","Drug Screen","Prism Secondary",0.9270469,0.9527427,0.7316221,0.9207965,0.9698329,0.9383663,0.9104681,0.9509806,0.9603919,NA,NA,0.9465336,NA,0.9346339,0.9569166,NA,0.951972,NA,0.8713922,0.9524675,0.9353645,NA,NA
"SB-218078 (BRD:BRD-A06352508-001-03-7)_sec","num","Drug Screen","Prism Secondary",0.714883,0.8438612,0.7256824,0.875562,0.7803036,0.802182,0.7915359,0.8109998,NA,0.860502,0.714946,0.6006509,NA,NA,NA,NA,0.8543558,0.8106268,0.9839906,0.7887954,0.6064752,0.6736744,0.8526421
"DICLAZURIL (BRD:BRD-A06426627-001-03-5)_sec","num","Drug Screen","Prism Secondary",0.7076608,0.675364,0.730469,0.8234407,0.8378044,0.8176472,0.756983,0.8375544,0.8546784,0.8093477,0.783365,0.7914381,NA,0.7938346,NA,NA,0.8035357,0.7600655,0.8003604,0.8260973,0.8038466,0.7509729,0.8270227
"MONENSIN (BRD:BRD-A06627858-236-03-0)_sec","num","Drug Screen","Prism Secondary",0.6624279,0.8390926,NA,0.7338049,0.85401,0.7620408,0.9029686,NA,0.6820422,0.7869687,0.6638176,0.8864507,NA,0.8254774,0.9404054,NA,0.8946644,0.7196312,0.8494187,0.9848499,0.803002,0.6831119,0.8831439
"ISOFLOXYTHEPIN (BRD:BRD-A07704283-001-01-3)_sec","num","Drug Screen","Prism Secondary",0.9441091,0.8959697,0.9114316,0.9405071,0.9321074,NA,NA,NA,NA,NA,0.9543083,0.9167262,NA,0.9473114,NA,0.9716925,0.914743,0.9553524,0.9686431,0.9191539,0.8745085,0.9694482,NA
"GALETERONE (BRD:BRD-A07986123-001-02-8)_sec","num","Drug Screen","Prism Secondary",0.79113,NA,0.8067018,0.825881,0.8129789,NA,0.7893432,0.8664334,0.737276,NA,NA,0.7327938,0.8985237,0.8387603,0.86288,0.8449527,0.8443711,0.8307435,0.7978208,0.8120827,0.7816168,NA,NA
"RACECADOTRIL (BRD:BRD-A08187463-001-12-9)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9186735,NA,NA,NA,NA,NA,0.93756,NA,NA,NA,0.9797754,0.8994411,NA
"CID-5458317 (BRD:BRD-A08840375-001-01-3)_sec","num","Drug Screen","Prism Secondary",0.8359278,0.840185,0.8115676,0.8504676,0.8258916,0.8579245,0.8115919,0.8536537,0.8701605,0.8391053,0.8444421,0.8577236,NA,0.8336342,0.9143598,0.6284152,0.8458792,0.858023,0.84427,0.8662617,0.8167552,0.8382091,0.829806
"NORETHINDRONE-ACETATE (BRD:BRD-A09349126-001-10-7)_sec","num","Drug Screen","Prism Secondary",NA,NA,NA,NA,0.866357,NA,NA,NA,NA,NA,0.9448429,NA,NA,NA,NA,NA,NA,NA,0.9465567,NA,NA,NA,NA
"CYCLOPHOSPHAMIDE (BRD:BRD-A09722536-002-18-0)_sec","num","Drug Screen","Prism Secondary",0.9674063,0.8505805,NA,NA,0.9606852,0.9064948,NA,NA,NA,0.9606613,NA,0.9154746,NA,NA,NA,NA,NA,0.90084,0.9705892,NA,NA,0.954696,NA
"TIPRANAVIR (BRD:BRD-A10039652-001-01-2)_sec","num","Drug Screen","Prism Secondary",0.8556234,NA,NA,0.8822078,0.8684138,0.8567446,NA,NA,0.8798313,0.8450227,0.9264047,0.7528274,NA,0.889901,NA,0.88973,0.8765722,NA,0.9082942,0.8899599,0.8037378,0.908547,NA
