depmap_id,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000132,ACH-000291,ACH-000430,ACH-000443,ACH-000524,ACH-000527,ACH-000574,ACH-000617,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000704,ACH-000713,ACH-000719,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001063,ACH-001151,ACH-001374,ACH-001418,ACH-001630,ACH-002140,ACH-002149,ACH-002181,ACH-002182
ERLOTINIB (GDSC1:1),num,Drug Screen,GDSC1_AUC,,,,,,,,,0.936063084,,,0.832598189,,,,,,,,,,0.998391136,,,,,,,,0.926275913,,
AICA RIBONUCLEOTIDE (GDSC1:1001),num,Drug Screen,GDSC1_AUC,0.979005595,0.951000178,0.96806146,,0.938924406,0.973956243,0.972517208,0.926544627,0.932751645,0.875570069,0.964717349,0.844344818,0.929540422,0.884218792,,0.898885445,0.991389751,,0.984534511,0.961564835,0.893477562,0.865098991,0.917833881,0.920832703,0.984182787,0.894263303,0.958532653,0.95056548,0.897772251,0.732017181,0.99754515,0.932675035
VELBAN (GDSC1:1004),num,Drug Screen,GDSC1_AUC,0.523455312,0.491063238,0.766526938,0.767083986,0.762516779,0.741799498,0.652340501,0.958700771,0.828366484,0.675335835,0.884791446,0.756091163,0.535175816,0.617516384,0.76685512,0.570469843,0.961376074,,0.892188803,0.678581305,0.552914848,0.763397773,0.636003407,0.712968615,0.740190601,0.523702553,0.850514971,0.659598904,0.439084813,0.784519896,0.996067721,0.715821482
CIS-DDP (GDSC1:1005),num,Drug Screen,GDSC1_AUC,0.862517324,0.919287777,0.70788924,0.874505394,0.925505394,0.949823977,0.903971205,0.958495486,0.880908211,0.910145703,0.938141426,0.909086663,0.84831957,0.815682911,0.951057699,0.891178305,0.901767037,,,0.993837996,0.652468759,0.922416455,0.835932073,0.916366697,0.795568197,0.700068674,0.932394587,0.882612536,0.919766127,0.935833835,0.996018465,0.938394262
CYTARABINE (GDSC1:1006),num,Drug Screen,GDSC1_AUC,0.882429504,0.79910291,0.648007605,0.872723658,0.729409139,0.862760984,0.813253683,0.801549692,0.859875605,0.939699642,0.89648092,0.862420852,0.683840522,0.748782456,0.840950912,0.667865147,0.872717312,,0.964596432,0.831687893,0.671358898,0.636309051,0.615148713,0.735364866,0.665630782,0.707709427,0.90704833,0.629958885,0.53610985,0.9584127,0.893473354,0.710125726
DOCETAXEL (GDSC1:1007),num,Drug Screen,GDSC1_AUC,0.859298749,0.759035044,0.888996585,0.890316442,0.776879774,0.840296505,0.778639439,0.986411879,0.87535949,0.805655939,0.914546766,0.843926919,0.847530044,0.943682895,0.760826112,0.810112156,0.897741008,,0.942000484,0.848718292,0.678907318,0.827013194,0.813795244,0.73480535,0.731286582,0.565092711,0.925070531,0.852415151,0.678823346,0.73244563,0.969532999,0.724705021
ABITREXATE (GDSC1:1008),num,Drug Screen,GDSC1_AUC,0.907042394,0.915214388,0.936557502,,,,0.910396172,,0.960353884,0.872805035,0.972740456,0.968276551,0.761613865,0.885416507,0.924116145,0.970153166,0.974076053,,0.988243741,0.992491548,,0.766078293,0.979369029,0.991099748,0.995156233,0.96895044,0.95828588,0.916553294,0.942308492,0.909720698,0.999188582,0.991947947
ATRA (GDSC1:1009),num,Drug Screen,GDSC1_AUC,0.890397464,0.95202846,,0.865285955,0.960995557,0.925683554,0.99330816,,,,,0.922344345,0.848020795,0.947903059,,0.927029477,0.991212863,,0.997710272,0.988428255,,,0.948204606,0.938398167,,0.933956046,0.907356678,,0.963294931,0.998560628,0.846911185,
GEFITINIB (GDSC1:1010),num,Drug Screen,GDSC1_AUC,0.994197571,0.873428465,0.962213516,0.97529333,0.911990617,0.991061595,0.946341589,0.983865473,0.951175145,0.819046627,0.947543907,0.933449432,0.94324522,0.846248073,0.828011981,0.983644756,0.869189578,,0.952344013,,0.919299692,,0.962824786,0.952390518,0.998713831,,0.940992914,0.997997755,,,0.898140485,0.955934771
NAVITOCLAX (GDSC1:1011),num,Drug Screen,GDSC1_AUC,0.927216097,0.850743152,0.948677254,0.773907268,0.893550764,0.818000472,0.922826154,0.957353712,0.968127302,0.326253123,0.985429957,0.933842175,0.931765878,0.820227645,0.786782233,0.929527103,0.853839484,,0.683863383,,0.899454694,,0.943958458,0.945736794,0.892459818,0.862192568,0.932874261,0.973508035,0.877932176,,0.999534413,
