Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000256,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000443,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000646,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000701,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001042,ACH-001048,ACH-001063
A1BG_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,3,6,2,3,3,2,2,2,4,3,4,2,5,3,6,5,2,3,1,2,3,4,2,3,2,2,2,3,2,3,3,3
NAT2_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,2,2,1,2,2,2,2,3,1,2
ADA_CopyNum,cat,Molecular,Copy Number,5,1,2,2,2,2,3,5,2,2,4,5,3,2,4,5,3,2,3,2,4,4,2,4,2,3,2,4,2,2,2,2,2,4,2,3,2,3
CDH2_CopyNum,cat,Molecular,Copy Number,2,1,1,6,2,2,2,4,2,7,3,5,2,3,2,1,2,2,4,1,2,2,2,4,2,2,1,2,1,2,2,2,2,3,2,2,2,4
AKT3_CopyNum,cat,Molecular,Copy Number,4,1,2,4,2,1,2,5,2,2,4,5,3,4,4,4,3,2,3,3,4,4,3,3,2,3,2,5,2,3,2,2,2,3,3,4,2,6
ZBTB11-AS1_CopyNum,cat,Molecular,Copy Number,5,1,2,4,2,2,3,4,2,2,3,2,3,2,3,3,3,2,4,3,3,5,2,3,2,1,2,5,2,2,2,2,2,4,2,2,1,3
MED6_CopyNum,cat,Molecular,Copy Number,4,2,2,3,2,2,4,5,2,2,3,3,2,2,4,2,3,2,3,2,3,5,2,4,2,3,2,4,2,2,2,2,2,3,2,2,1,3
NR2E3_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,1,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,4,2,2,3,4,2,2,2,3,2,3,2,2,2,4
NAALAD2_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,3,6,5,4,2,3,3,3,3,3,3,2,2,4,3,5,4,2,2,2,4,2,3,2,2,2,2,2,6,2,2,1,3
SNORD116-1_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-2_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-3_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-4_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-5_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-6_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-7_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-8_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-9_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-10_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-11_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-12_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-13_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-14_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-15_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-16_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-17_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-18_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-20_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-21_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-22_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-23_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-24_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-25_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-2_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-26_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD116-27_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-3_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-4_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-5_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-6_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-7_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
SNORD115-8_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,1,2
