"Feature","Data_Type","Category","Sub_Category","ACH-000657","ACH-001278","ACH-000713","ACH-000256","ACH-000278","ACH-000123","ACH-001048","ACH-000608","ACH-000906","ACH-000574","ACH-000542","ACH-000324","ACH-000237","ACH-000132","ACH-000524","ACH-000796","ACH-000001","ACH-000116","ACH-000704","ACH-000091","ACH-000688","ACH-000291","ACH-000617","ACH-001151","ACH-000696","ACH-000527","ACH-000947","ACH-000443","ACH-000646","ACH-000409","ACH-000663","ACH-001628","ACH-001630","ACH-001632","ACH-000719","ACH-000701","ACH-000811","ACH-000460","ACH-001403","ACH-000048","ACH-000885","ACH-000430","ACH-001418"
"HRD_Weir","num","Molecular","Custom Gene Signatures"," 6",NA,"70","23","59",NA,"30","28","24","41","11","31","20","60",NA,"24","32","56","32","13","14","19","57","19","68","18"," 2","50","28","34","14",NA,"60",NA,"28","22","15","12",NA," 8"," 2",NA,"57"
"consensus_mechanome_don","num","Molecular","Custom Gene Signatures","-0.01"," 0.26"," 0.30","-0.08"," 0.04"," 0.27"," 0.39","-0.08","-0.07"," 0.16","-0.06"," 0.18"," 0.25"," 0.03","-0.06","-0.26"," 0.06"," 0.17"," 0.04","-0.08"," 0.06"," 0.02","-0.08"," 0.37"," 0.21","-0.19"," 0.03"," 0.01","-1.02","-0.33","-0.29"," 0.21","-0.20","-0.48","-0.57"," 0.00"," 0.35"," 0.03"," 0.33"," 0.01"," 0.04","-0.04"," 0.15"
"hallmark_epithelial_mesenchymal_transition","num","Molecular","Custom Gene Signatures","-0.13","-0.23"," 0.45"," 0.22"," 0.47","-0.02"," 0.63"," 0.28"," 0.23"," 0.25"," 0.22"," 0.18"," 0.56"," 0.24"," 0.31","-0.03"," 0.26"," 0.12"," 0.03"," 0.46"," 0.57"," 0.17"," 0.30","-0.03"," 0.30","-0.13","-0.21"," 0.29","-0.26"," 0.24","-0.03"," 0.26"," 0.09","-0.18","-0.16","-0.04"," 0.50"," 0.29"," 0.57"," 0.41"," 0.09","-0.18"," 0.27"
"hallmark_fatty_acid_metabolism","num","Molecular","Custom Gene Signatures"," 0.02"," 0.08"," 0.05","-0.45","-0.15","-0.09"," 0.28","-0.16","-0.35","-0.02","-0.21"," 0.06"," 0.26","-0.05","-0.07","-0.17"," 0.14"," 0.18"," 0.10","-0.03","-0.11"," 0.06","-0.04"," 0.42","-0.03","-0.12"," 0.30","-0.05","-1.07"," 0.06","-0.40"," 0.45","-0.21","-0.55","-0.74","-0.06"," 0.22","-0.21"," 0.24"," 0.17"," 0.02","-0.19"," 0.11"
"hallmark_glycolysis","num","Molecular","Custom Gene Signatures"," 0.07","-0.01"," 0.27","-0.32"," 0.05","-0.17"," 0.44","-0.04","-0.16"," 0.07","-0.16"," 0.13"," 0.29","-0.02","-0.14","-0.03"," 0.14"," 0.35"," 0.10"," 0.07"," 0.09"," 0.04"," 0.12"," 0.38"," 0.14","-0.04"," 0.24"," 0.04","-1.01","-0.08","-0.04"," 0.40","-0.07","-0.30","-0.28"," 0.01"," 0.34","-0.11"," 0.47"," 0.33","-0.07","-0.20"," 0.12"
"hallmark_oxidative_phosphorylation","num","Molecular","Custom Gene Signatures"," 0.25"," 0.21"," 0.07","-0.89","-0.36"," 0.03"," 0.29","-0.26","-0.21"," 0.01"," 0.06","-0.03","-0.06","-0.26","-0.53","-0.35"," 0.10"," 0.19"," 0.35","-0.18","-0.10"," 0.17"," 0.13"," 0.24"," 0.26","-0.71"," 1.07","-0.32","-1.91"," 0.22","-0.65"," 0.45","-0.18","-0.78","-0.43"," 0.06"," 0.19","-0.39"," 0.22"," 0.38"," 0.04"," 0.28"," 0.12"
"hallmark_reactive_oxygen_species_pathway","num","Molecular","Custom Gene Signatures","-0.17","-0.27"," 0.14","-0.63"," 0.05","-0.66"," 0.47","-0.03","-0.21","-0.08","-0.10"," 0.23"," 0.46","-0.42","-0.26","-0.29","-0.10"," 0.02"," 0.21"," 0.30"," 0.31"," 0.11","-0.04"," 0.30"," 0.19","-0.31"," 0.40"," 0.00","-1.18","-0.37","-0.30"," 0.41"," 0.03","-0.46","-0.37"," 0.45"," 0.46","-0.19"," 0.44"," 0.31","-0.27","-0.06"," 0.22"
"hr_hrdsum_summary","num","Molecular","Custom Gene Signatures","6",NA,"70","23","59",NA,"30","28","24","41","11","31","20","60",NA,"24","32","56","32","13","14","19","57","19","68","18","2","50","28","34","14",NA,"60",NA,"28","22","15","12",NA,"2","8",NA,"57"
"hr_weir_identifihr_up","num","Molecular","Custom Gene Signatures"," 0.11"," 0.10"," 0.38","-1.30"," 0.12","-0.06"," 0.46","-0.12","-0.09"," 0.09","-0.11"," 0.22","-0.09"," 0.28","-0.52","-0.13"," 0.23"," 0.25"," 0.22","-0.37","-0.05","-0.03","-0.01"," 0.40"," 0.35","-0.66"," 0.31"," 0.18","-2.12","-0.03","-0.45"," 0.57"," 0.14","-0.04","-0.71"," 0.21"," 0.35","-0.47"," 0.05","-0.13","-0.05"," 0.07"," 0.21"
"hrd_gene_signature_peng_natcommun2014","num","Molecular","Custom Gene Signatures"," 0.25"," 0.15"," 0.19","-0.40"," 0.02","-0.09"," 0.40"," 0.02","-0.22"," 0.08","-0.04"," 0.13","-0.19","-0.11","-0.42"," 0.03"," 0.18"," 0.27","-0.02","-0.49","-0.04","-0.11","-0.08"," 0.30"," 0.08","-0.59"," 0.12","-0.02","-1.53","-0.10","-0.28"," 0.45"," 0.08","-0.19","-1.07"," 0.02"," 0.31","-0.14"," 0.18"," 0.11"," 0.15","-0.01"," 0.15"
