"Feature","Data_Type","Category","Sub_Category","ACH-000091","ACH-000608","ACH-000796","ACH-000701","ACH-000237","ACH-000688","ACH-000542","ACH-000713","ACH-000696","ACH-000116","ACH-000617","ACH-000278","ACH-000574","ACH-000409","ACH-000524","ACH-000256","ACH-000291","ACH-000460","ACH-000430","ACH-000811","ACH-000048","ACH-000947","ACH-000123","ACH-000324","ACH-000719","ACH-000906","ACH-000646","ACH-000663","ACH-000885"
"ENSG00000229874.2","num","Molecular","LncRNA Expression",0.9531251,-0.6098952,-0.233963,0.3337199,0.5115939,0.4396874,-0.5203275,-0.5834034,0.3740885,-0.8785985,-0.5670036,0.7462362,0.2567674,0.3223663,0.2277524,0.8231888,-1.6178478,0.411934,1.0994611,0.3009205,1.2912118,1.0691847,-0.1443952,0.8307579,-2.3116825,0.3803961,-3.3915416,-1.2192083,0.5305167
"ENSG00000231187.2","num","Molecular","LncRNA Expression",0.821494633,-0.06678639,0.708596981,1.246150271,1.932132454,-0.143006632,-1.675434668,0.546414058,0.450708942,-1.206651521,1.293143202,-0.637005498,-1.070257403,0.48337476,0.007141515,0.014591614,-0.523534761,-0.43871825,-2.355112921,1.390567572,-0.492588196,0.400850588,-0.422098799,-0.825550308,-0.973406117,-0.578550876,-1.070830488,0.973935118,1.798603758
"ENSG00000231966.1","num","Molecular","LncRNA Expression",0.88940568,-2.4703087,-0.32554955,0.20714836,0.254208,0.08444949,-2.4703087,-0.01009956,0.34145099,0.58169152,0.72244066,0.02105865,0.72007694,0.35198031,0.6036097,0.82558508,0.64357816,0.75875609,0.63197442,0.03459636,-2.4703087,0.38872551,-2.4703087,0.12226911,0.39882507,0.10722721,-0.05586989,0.23594285,0.12291376
"ENSG00000233029.3","num","Molecular","LncRNA Expression",-1.59678671,0.63948034,0.65219516,0.58900636,-1.59678671,-1.59678671,0.46937147,0.82480847,0.52466167,1.2309121,0.3612955,-1.59678671,0.51252479,0.16055547,0.56087964,0.74062095,0.92113286,0.7404283,-1.59678671,0.21931335,0.7096045,0.08831218,0.33644381,-0.40429076,-1.59678671,-1.59678671,0.17115115,-1.59678671,-1.59678671
"ENSG00000234264.1","num","Molecular","LncRNA Expression",-1.79543717,-2.39944976,-0.91299498,1.10038033,-0.46616039,0.93571766,0.82195073,0.5487604,0.782282,0.22242894,1.03526373,0.33694434,-0.34191492,0.07198714,-0.31946092,1.53000019,0.75384027,0.3421836,1.15202453,-0.47214812,-1.06268831,-1.50054131,0.03980307,1.24109206,0.45370513,-0.46166959,-2.67563396,0.3713738,-1.84184211
"ENSG00000242078.1","num","Molecular","LncRNA Expression",0.67769773,0.06121777,0.14195731,0.45944869,0.56352699,-0.01237294,0.08728991,0.26685127,-0.08701496,0.2939747,0.78934537,-2.42488695,0.62239957,0.85200261,0.57214762,0.52000334,0.3042774,0.53345993,0.45103832,-2.42488695,0.84106913,0.76642712,0.81016103,0.34864209,-2.42488695,0.53934718,-0.57649837,0.49519275,0.14027523
"ENSG00000242540.2","num","Molecular","LncRNA Expression",-0.6482422,-0.6482422,-0.6482422,-0.6482422,-0.6482422,1.742118,-0.6482422,-0.6482422,-0.6482422,1.5739702,1.3608908,-0.6482422,1.4875633,-0.6482422,0.8244768,-0.6482422,-0.6482422,1.4001195,-0.6482422,-0.6482422,1.6562295,-0.6482422,-0.6482422,-0.6482422,-0.6482422,-0.6482422,1.1345047,-0.6482422,-0.6482422
"ENSG00000244040.1","num","Molecular","LncRNA Expression",0.46686432,-1.50019181,0.36092358,0.74985669,0.27592221,0.53963379,1.20057128,-1.50019181,0.65386734,0.78758901,0.67190421,-1.50019181,0.13245648,0.66983101,0.2504218,1.08281328,0.65573322,0.2504218,-1.50019181,0.67978239,-0.08274211,-1.50019181,-1.50019181,0.46188863,-1.50019181,1.16843662,-1.50019181,-1.50019181,0.68828253
"ENSG00000248925.1","num","Molecular","LncRNA Expression",-3.20271663,-3.20271663,-0.20815961,-3.20271663,0.60310055,0.42725084,0.51287533,0.51798724,0.39887974,0.48936055,-0.07090482,-0.49442658,0.47402481,0.25088993,-0.22732927,0.54865871,-0.8750083,0.02877743,0.44948765,0.33549205,0.58444208,0.44258657,0.5887872,0.62252581,0.15913114,0.15810876,-0.41544757,0.55964931,0.39785735
"ENSG00000250271.1","num","Molecular","LncRNA Expression",-1.35780373,0.69674677,1.29407114,-1.35780373,1.41701612,0.4291774,1.11464562,0.61430802,0.06861484,-1.35780373,-1.35780373,0.25830954,-0.28082276,0.846791,0.43830557,0.42076238,1.32288191,1.15672076,0.18499896,-1.35780373,-0.37709639,-1.35780373,0.51175878,-1.35780373,0.14905681,0.35501105,-1.35780373,0.29639111,-1.35780373
"ENSG00000254031.1","num","Molecular","LncRNA Expression",-0.6874094,-0.6874094,-0.6874094,1.1340627,1.0651487,-0.6874094,-0.6874094,1.1821611,1.9006048,-0.6874094,1.6013037,1.2646154,1.2607756,-0.6874094,1.9137409,1.6312136,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094,-0.6874094
