Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000256,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000443,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000646,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000701,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001042,ACH-001063,ACH-001151
2-aminoadipate,num,Molecular,Metabolomics,6.0674025,6.1231825,5.7862107,5.6975258,5.8827883,5.9590368,6.3257534,6.0687233,5.7149653,6.1648554,6.0816281,5.8219134,6.0146871,6.0444028,5.9794112,5.891335,5.860331,6.2791077,5.6646396,6.5584259,5.5285933,5.5414401,6.118234,6.0762591,6.0480741,5.8843534,5.323673,5.7239713,6.7458683,6.2687758,6.2529912,5.9229254,6.2976849,6.0799859,5.9077496,5.8292926,6.2913131,5.9097182
3-phosphoglycerate,num,Molecular,Metabolomics,5.6023603,6.1441561,5.8886067,5.7654683,5.6281984,5.624752,6.0040484,5.7810033,5.0300495,5.9448197,5.9713931,5.9912885,6.020838,5.4528703,6.0083644,5.7644406,6.2272449,5.8518493,5.7631153,6.1807276,5.9159793,5.9884026,6.0895099,6.228142,5.8769504,6.2009661,6.0844786,6.3166117,5.5832281,6.0422646,6.2948876,6.0064322,5.5711678,6.5522387,5.721835,6.2499458,6.0255594,5.823581
alpha-glycerophosphate,num,Molecular,Metabolomics,5.5563464,5.6746983,6.382852,4.965903,6.1188585,5.6923298,6.5698974,6.2106216,6.1042009,5.9769259,5.3308877,6.6304241,5.6124656,5.3872081,5.6287437,5.8132325,5.7885479,6.3535226,5.7060272,5.4360543,6.2870798,6.3601096,5.8366799,6.6714276,6.0890187,6.4737592,4.7188742,5.7701956,5.5810702,5.5207524,5.7920006,5.7429945,5.5421249,6.8054878,5.6078593,5.8284131,7.1435122,5.5572011
4-pyridoxate,num,Molecular,Metabolomics,5.6376663,5.5176405,5.9960417,5.6685515,5.4592921,6.2411233,6.1583628,6.0288865,6.2278942,6.0640386,6.034447,5.7414696,6.4322893,6.0875165,6.186922,6.2932634,5.5385206,5.6503382,5.7619991,5.5210019,6.066119,5.5769459,6.2376029,5.744309,6.353927,5.8193168,6.0175701,5.766469,6.5259859,5.7999585,5.605644,5.8773937,5.7069981,5.9725953,6.3993319,5.882535,5.5386337,6.181704
aconitate,num,Molecular,Metabolomics,6.0403754,5.8456752,5.9017358,6.0386833,5.5526779,5.9390794,5.8964519,5.7958502,5.5013086,5.8308124,5.8967848,6.1054817,6.0588238,5.6337238,6.1526703,6.0165696,6.1193595,5.6001185,5.9473048,6.1244606,5.9018829,6.0707659,6.08695,6.0412552,5.8025201,5.9179752,5.2150596,6.1952778,5.9633016,5.8503414,5.9452107,5.6462666,5.8798066,6.1352093,5.6728329,5.6294424,6.2414873,5.7145685
adenine,num,Molecular,Metabolomics,5.6492836,5.8019995,5.8730115,5.5100743,5.7011212,5.216474,5.4552843,6.232898,6.0713129,7.4355295,6.5323496,5.5936252,5.5015836,5.535119,5.6667166,5.8397813,5.796206,5.6307945,5.4454148,6.1491001,5.6790339,5.8854425,6.0992311,5.9911521,5.7687596,5.7057585,5.6199267,5.6148818,6.1048213,5.8174721,5.8831068,5.3077603,5.7506068,5.699452,5.6262915,6.0854374,5.7710654,6.0181834
adipate,num,Molecular,Metabolomics,6.1844503,6.0524605,5.838974,6.098071,5.9386819,6.1123038,5.7147273,6.0753854,5.9174865,5.6210557,5.7824665,5.8573355,5.9198053,5.995427,5.6452999,5.9527209,5.9772821,5.949743,5.9029485,5.9181979,5.8725058,5.8070455,5.4057612,5.8290955,6.0438746,5.9046248,6.0542484,5.629189,5.8928064,5.9076475,5.911475,5.8713882,5.8142289,5.9634128,6.1286215,5.7477818,5.9475929,6.0163798
alpha-ketoglutarate,num,Molecular,Metabolomics,5.8520898,6.018892,5.9978382,5.8916935,5.5605017,5.9817478,6.0579917,6.0562159,5.8192669,6.2513421,5.9698756,6.1298393,6.1896478,5.7012457,5.8208532,6.1533591,5.9383962,5.6327297,5.9316176,5.6020427,6.0232584,5.6586177,6.533795,6.3187424,5.7854979,5.9703913,5.6159829,6.2308433,5.7951505,5.8472288,6.0457717,5.7711983,6.0549008,6.1978185,6.1069837,5.6137446,6.4263201,5.9908036
AMP,num,Molecular,Metabolomics,5.5972393,5.8595683,6.0244208,5.8910777,5.7443757,5.2691389,5.7325414,6.1170022,5.764489,5.9390733,5.3613304,5.7139445,5.7352658,5.4900065,5.7073849,5.8048573,5.7345729,5.5939736,5.6024081,5.9360365,6.0031796,6.2241391,5.6400961,5.7725224,5.6694075,5.7103109,6.3803834,5.6192839,5.885665,5.7323876,5.9244397,5.7255231,6.2514287,5.8913895,6.0115714,7.0448122,6.0547389,5.5342495
citrate,num,Molecular,Metabolomics,5.9783307,5.9079308,5.8267962,6.1273189,5.4813807,5.8201992,5.8402785,5.800919,5.5413868,6.0455232,5.8619208,6.0799218,5.884605,5.7723854,6.0716369,6.0652608,6.0214929,5.5540557,5.8804555,6.043095,5.8393282,5.8786558,5.8235483,6.0876059,5.8864648,5.8391494,5.4513216,5.9146322,5.8215225,5.6563391,6.0364066,5.7266352,5.7631672,6.1294116,5.7607083,5.8246721,6.220788,5.853117
