depmap_id,Data_Type,Category,Sub_Category,ACH-000713,ACH-000278,ACH-000430,ACH-000617,ACH-000574,ACH-000542,ACH-000132,ACH-000001,ACH-000091,ACH-000409,ACH-000701,ACH-000291,ACH-000657,ACH-000524,ACH-000696
KDM1A sp|O60341|KDM1A_HUMAN'],num,Molecular,Proteomics,0.009924871,0.0074496,-0.183339547,-0.120692892,0.511779906,-0.77283711,-0.374958751,0.513282294,0.113626606,0.567295621,-0.193376983,0.204563268,0.360932352,0.706482996,-0.828736327
SOX1 sp|O00570|SOX1_HUMAN'],num,Molecular,Proteomics,,0.562688276,,-0.009427852,0.213882226,-3.716548492,,,,,,0.494051292,,-0.387973638,
SOX15 sp|O60248|SOX15_HUMAN'],num,Molecular,Proteomics,,,,,-0.794051186,,,,,,0.311330796,,-1.242715864,-1.175331101,-0.534040981
SHOX2 sp|O60902|SHOX2_HUMAN'],num,Molecular,Proteomics,,,,,,,0.200151415,-0.749873707,,,-0.63820727,0.467591213,3.969861647,,-0.355523134
SLC19A2 sp|O60779|S19A2_HUMAN'],num,Molecular,Proteomics,-0.500935636,-0.134309561,,0.02572328,,,-0.568412268,0.195471542,,,,,,,
ATXN7 sp|O15265-2|ATX7_HUMAN'],num,Molecular,Proteomics,0.394101818,-0.186854252,,-0.278542035,0.570305532,-0.220438752,-0.265399825,1.547953402,-0.023012295,0.416935569,-0.025993833,0.513430624,0.826193052,0.872449106,0.104962268
UNC119B sp|A6NIH7|U119B_HUMAN'],num,Molecular,Proteomics,-0.16843447,-0.924208715,-0.058983283,-0.109465808,,0.425099582,0.034236966,-0.129631124,-0.494447166,-1.181228868,0.631313931,-0.364679017,0.616703559,-0.681362869,0.318138537
RANBP6 sp|O60518|RNBP6_HUMAN'],num,Molecular,Proteomics,0.119086723,-0.598538473,0.450512895,1.119906524,0.334594968,0.98782521,0.335204456,0.237594253,0.551500435,0.719764823,0.070661194,-0.406809524,-1.030608842,0.440102399,-0.227470405
IPO5 sp|O00410-3|IPO5_HUMAN'],num,Molecular,Proteomics,-0.628161541,-0.760890029,0.836197011,-0.629520884,-0.260810524,0.595097932,0.838800637,-1.15566798,0.20185429,-0.657144572,0.029648027,0.366871695,0.877774942,-1.543838555,0.892820743
SH3PXD2B sp|A1X283|SPD2B_HUMAN'],num,Molecular,Proteomics,0.386217217,-0.29172871,0.012100701,-0.170207934,-0.48784731,-0.232930893,-1.319100871,-0.388758067,-0.260377572,-0.411389721,-0.238658647,0.161255638,1.696980867,-0.593762458,1.830095941
