"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994"
"ELMO2_GeneExp","num","Molecular","Gene Expression Microarray",-0.53641667,0.71516667,-0.59158333,0.23616667,-0.0905,-0.0775,-0.60025,-0.52491667,-0.07758333,-0.65391667,0.19783333,-0.32783333,0.80125,0.0075,0.37733333,0.51625,0.09775,-0.36433333,-0.90766667,-0.24933333,-0.45533333,-0.017,0.03725,0.67233333,0.32791667,-0.7995,-0.1105,-0.57008333,-0.51083333,-0.1395,-0.02683333,0.1365,-0.2665,-0.19683333,-0.083,-0.57341667,0.42575,0.21041667,0.57,-0.37075,-0.13091667,0.33416667,0.78608333,0.64158333,0.23083333,0.367,0.86791667,0.62741667,0.13233333,0.63133333,-0.04358333,1.33758333,0.49166667,-0.1475,0.02908333,0.34633333,-0.40541667,0.84933333,0.41433333,0.3455,0.71358333,-0.42258333,0.84416667,-0.55591667,-0.60875,0.264,-0.13433333,0.73566667,-0.03175,0.21425,0.18416667,0.38575,-0.07975,0.10216667,0.07558333,-0.16191667,-0.04591667,-0.92933333,-0.78391667,-0.12283333,0.05108333,-0.59841667,-0.1715,-0.67183333,0.7555,-0.05041667,0.07383333,0.44491667,0.14291667,0.44083333,0.15608333
"CREB3L1_GeneExp","num","Molecular","Gene Expression Microarray",0.409,-0.4835,0.27025,-0.17975,0.801,0.61125,-0.581,0.258,-0.3085,-0.65075,-0.178,-0.52375,-0.7125,-0.10575,0.418,0.11675,1.50425,1.419,-0.151,0.4715,0.05825,-0.71725,-0.178,-0.50725,0.404,0.2325,-0.00025,0.52875,-0.43275,0.41275,0.66825,-1.42275,-0.2735,-0.574,0.03875,-0.6835,-0.3005,0.0315,-0.125,-0.6195,-1.2425,0.24475,0.0905,-0.7505,0.59625,-0.2555,0.27325,0.59975,-0.11,0.433,0.6055,0.2235,0.635,0.72825,1.18625,-0.57425,0.4775,0.29875,0.01575,-0.162,0.21175,-0.467,-0.8865,-0.96225,-0.3585,1.75025,-0.1125,-0.4955,0.23125,-0.30625,-0.8695,0.432,-0.11875,0.98725,0.6835,0.92375,0.46375,0.13075,0.83575,0.9135,0.28175,0.08,-0.259,0.1455,-0.0025,-0.19825,1.232,-0.40775,0.0815,-0.09925,-0.9375
"RPS11_GeneExp","num","Molecular","Gene Expression Microarray",0.9225,1.31175,0.89025,0.7295,0.44675,1.1865,1.3885,1.31075,0.544,1.047,-0.2695,1.11625,0.709,1.843,1.616,0.064125,0.6355,0.29125,0.805375,0.74375,1.618625,0.735,0.671875,-0.162375,0.7485,0.84,0.344375,0.255875,0.23375,-0.0795,0.378375,1.117625,0.443125,0.72525,0.733625,0.404875,1.117625,0.96475,1.424375,0.5395,0.931375,1.110125,1.168375,-0.455125,1.7765,0.76575,0.509875,1.077875,0.547125,0.300875,1.040375,2.019,0.595375,0.746375,0.961875,0.57125,1.09975,1.32,0.245125,1.535375,-0.55525,1.241625,0.131,1.417625,0.298625,1.179875,0.769,-0.172125,1.777125,1.161125,1.0765,-0.098875,0.983125,1.149125,0.94275,1.908875,0.048875,0.315,1.1995,0.526875,-0.020125,0.46025,1.51875,1.241625,0.718,1.66175,1.549,0.7325,0.85975,0.37425,0.0995
"PNMA1_GeneExp","num","Molecular","Gene Expression Microarray",-0.36775,0.0685,1.01,-0.87575,-0.35425,0.45825,-0.062,1.645,1.165,-0.1915,1.92775,0.68375,1.46375,-0.91275,1.60475,0.963,0.419,0.508,0.633,0.25075,0.841,-0.3035,0.67975,1.4045,0.96325,0.568,0.15775,0.5915,0.1735,0.46725,-0.3495,1.1935,0.695,0.82425,1.37625,-0.1645,1.49975,0.78375,0.52425,2.01775,0.82125,1.75175,1.27275,1.72575,1.227,1.844,1.16,1.31625,0.6575,1.03775,0.32325,1.3855,0.58075,0.1515,0.86625,0.891,-0.07825,0.18425,0.79025,0.55125,0.6715,0.54075,2.2805,0.171,-0.0075,0.33725,0.24175,0.558,-0.5025,1.81325,-0.495,0.71675,0.752,1.4225,0.51425,1.66725,0.839,0.485,-0.45925,0.79625,0.694,-0.1655,-0.31475,-0.05,1.20275,0.897,0.92,1.3895,1.22175,0.472,2.00125
"MMP2_GeneExp","num","Molecular","Gene Expression Microarray",-0.7273333,-1.584,0.1271667,-1.8143333,0.2903333,0.5001667,-0.9911667,-1.0983333,-1.0923333,-1.3165,-2.0196667,-0.5906667,-2.0483333,-1.1335,-0.6546667,-0.302,1.3116667,0.7391667,-1.1316667,-0.7453333,-0.8991667,-1.7891667,-0.7668333,-1.7768333,-0.4025,-0.5436667,-0.992,0.2528333,-1.5241667,-0.3091667,-1.1995,-0.6225,-1.9,-1.4506667,-0.1375,-1.8083333,-1.7408333,-0.0935,-1.2398333,-1.3135,-0.6833333,-0.3661667,-0.5393333,-1.2191667,1.3848333,-1.9405,-0.2775,-0.4435,-0.7421667,0.5373333,0.3898333,0.235,1.0226667,-0.5603333,1.6956667,-1.6723333,-1.2381667,-1.1973333,-0.4071667,-0.833,0.7718333,-0.796,-2.133,-1.1955,-1.5978333,2.9185,-1.8745,-1.3531667,-1.1373333,-1.1565,-1.5688333,1.199,-1.8963333,0.6315,0.294,0.3125,-0.2923333,-0.1065,0.6441667,1.009,0.4025,-0.4576667,-1.0968333,-1.8953333,-0.375,-0.8365,1.6483333,-1.8308333,-1.4603333,-1.4716667,-1.9783333
"C10orf90_GeneExp","num","Molecular","Gene Expression Microarray",-2.332667,-2.435,-2.358,-2.10525,-2.47025,-2.552,-2.35825,-2.49875,-2.587,-2.2755,-2.48675,-2.4095,-2.77675,-2.40975,-2.10225,-3.15775,-2.9035,-2.27625,-2.621,-2.29475,-2.38525,-2.013,-2.07625,-2.148,-1.51525,-2.24375,-2.56025,-2.812,-1.98775,-2.214,-2.236667,-2.1025,-2.5525,-2.2155,-1.98625,-1.706,-2.667333,-1.767,-2.0015,-2.19675,-1.19,-1.83875,-2.0025,-2.3055,-2.2175,-1.9265,-2.16975,-2.455,-0.413,-1.955,-2.352,-2.33175,-2.92325,-2.5815,-2.40825,-1.911,-3.06175,-2.36225,-2.37375,-2.046667,-2.1335,-2.00475,-2.45275,-1.76225,-1.90925,-2.43375,-3.0595,-2.328,-2.51925,-2.33425,-2.913333,-3.013,-2.24625,-2.83,-2.56,-3.404,-2.38525,-3.299,-2.5715,-2.3515,-2.84375,-2.641667,-2.1075,-2.10275,-2.422,-2.75775,-1.9615,-2.62225,-2.401,-1.884,-2.6185
"ZHX3_GeneExp","num","Molecular","Gene Expression Microarray",-0.2225,-0.1095,-0.06966667,-0.69266667,-1.02833333,-1.20766667,-1.415,-1.10833333,-1.35416667,-0.49166667,-0.34433333,-1.68083333,-0.94566667,0.16966667,-0.59566667,-0.3795,-0.641,-0.36816667,-1.31583333,-0.7595,-0.74766667,-0.85583333,-1.21833333,-0.93183333,-0.95583333,-0.1215,-1.16183333,-0.27483333,-1.3905,-1.27066667,-0.94116667,-0.4735,-1.11883333,-0.94316667,-1.0215,-1.72983333,-0.4205,-0.5795,0.3245,-0.48533333,0.34483333,-0.17133333,-0.26416667,-1.226,-0.82683333,-0.46866667,-0.84366667,-0.18083333,-0.291,-0.5185,-1.00333333,-0.04,-0.78033333,-0.1875,-0.07216667,-0.0255,-1.03716667,0.07466667,-1.02816667,-0.70883333,-1.185,-0.67366667,-0.308,-0.45666667,-1.33283333,-0.04433333,-1.2145,-0.89683333,-1.70083333,-1.423,-0.73866667,-0.72933333,0.027,-0.85283333,-0.9295,-0.92216667,-0.55983333,-1.24966667,-0.8145,-0.9135,-1.31916667,-0.9825,-0.70483333,-1.54066667,-1.27933333,-0.91366667,-0.31183333,-1.18583333,-0.45283333,-0.95366667,-1.43933333
"ERCC5_GeneExp","num","Molecular","Gene Expression Microarray",-0.1885,1.091,-0.65625,0.3625,0.24525,-0.13575,0.9465,-0.063,0.28475,0.0575,0.25875,0.76625,-0.13525,0.29525,0.9825,0.343,-0.17975,0.3505,0.00325,-0.61875,0.45575,-0.58875,0.34325,0.42225,-0.16525,0.82275,-0.5,-0.037,0.2755,-0.2415,-0.29275,0.2735,-0.1545,0.0135,-0.14775,0.08575,0.29675,-0.2075,0.4445,-1.05475,0.6465,0.64175,0.401,-0.61125,0.52225,-0.67775,0.09175,0.24075,-0.411,-0.52725,0.73175,-0.37475,-0.5,0.98175,0.4335,-0.8015,0.394,-0.0955,0.3415,-0.60075,-0.37775,0.4905,0.07725,-1.05525,-0.497,0.37725,-0.20075,-1.3215,-0.99225,-0.321,0.13825,-0.286,-0.8755,-0.64075,-0.4235,0.05,-0.11325,-0.10825,-0.21375,0.047,-0.17075,-1.0845,0.484,-0.07725,-0.91275,0.12925,-0.04125,0.82975,-1.09575,0.46075,0.369
"GPR98_GeneExp","num","Molecular","Gene Expression Microarray",-1.917875,0.33175,-0.345125,-0.107125,-1.701,-1.7235,-1.61928571,-1.31175,-1.5515,-1.198,-0.380625,-0.760875,-0.08971429,-1.8495,-1.120125,-0.61925,-0.54057143,-2.81,-1.176625,-1.53225,-2.281625,0.310875,-0.70025,-1.616625,-1.2025,-1.644375,-1.366375,-1.5315,-1.1685,-1.348125,-1.323125,-1.434375,-1.108125,0.39675,-2.035,-1.688875,0.040375,-1.73457143,0.79925,-1.561125,-1.631125,-1.0405,-2.19175,-1.12,-1.236,-0.290625,-1.615375,-1.728125,0.0715,-1.6465,-1.18825,-0.778375,-0.84275,-2.66928571,-1.437625,0.581625,-2.1405,-1.87625,-0.42125,0.188,-2.0225,-2.44425,-0.60128571,-1.1705,-0.92075,-0.272875,-1.012375,-1.799125,0.41325,-1.28775,-2.28442857,-1.700625,-1.148625,-2.5505,-1.99725,0.6075,-2.09657143,-0.881625,0.41975,-1.36685714,-2.269375,-1.632875,-0.898125,-1.16428571,-1.22014286,-1.198,-1.991,0.136,0.231625,-1.522375,-0.357875
"RXFP3_GeneExp","num","Molecular","Gene Expression Microarray",0.6515,0.7585,0.3035,0.6745,0.284,0.3985,0.571,0.4925,0.4495,0.508,0.6305,0.4165,0.062,0.617,0.31,-0.001,0.404,1.2145,0.3935,0.6575,0.248,0.5945,0.19,0.351,-0.14,0.7785,0.101,0.524,1.325,0.416,0.0775,-0.164,0.6765,0.5035,0.101,0.7975,0.3895,0.268,0.0535,0.4055,0.3285,0.143,0.07,0.0235,-0.0135,0.4455,0.5205,0.0465,0.052,0.3115,0.1075,0.0215,0.626,1.216,0.152,0.0225,0.632,0.8985,1.0985,1.3085,0.1735,0.345,0.407,0.6275,0.6805,0.271,0.345,0.5745,0.9355,0.6565,-0.005,0.0805,0.7985,0.3005,0.809,0.7955,0.748,0.3895,0.113,0.634,0.4035,0.745,0.4555,0.6905,0.606,0.954,0.957,0.1235,0.908,0.6965,0.247
