"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1107","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1325","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2390","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994"
"ELMO2","num","Molecular","Microarray Gene Expression","-0.53641667"," 0.71516667","-0.59158333"," 0.23616667","-0.09050000","-0.07750000","-0.60025000","-0.52491667","-0.07758333","-0.65391667"," 0.19783333"," 0.34975000","-0.32783333"," 0.80125000"," 0.00750000"," 0.37733333"," 0.51625000"," 0.09775000","-0.36433333","-0.90766667","-0.24933333","-0.45533333","-0.01700000"," 0.03725000"," 0.67233333"," 0.32791667","-0.79950000","-0.11050000","-0.57008333","-0.51083333","-0.13950000","-0.02683333"," 0.13650000","-0.26650000","-0.19683333","-0.08300000","-0.57341667"," 0.42575000"," 0.21041667"," 0.57000000","-0.37075000","-0.13091667"," 0.33416667"," 0.78608333"," 0.64158333"," 0.23083333"," 0.36700000"," 0.86791667"," 0.62741667"," 0.13233333"," 0.02550000"," 0.63133333","-0.04358333"," 1.33758333"," 0.49166667","-0.14750000"," 0.02908333"," 0.34633333","-0.40541667"," 0.84933333"," 0.41433333"," 0.34550000"," 0.71358333","-0.42258333"," 0.84416667","-0.55591667","-0.60875000"," 0.26400000"," 0.61716667","-0.13433333"," 0.73566667","-0.03175000"," 0.21425000"," 0.18416667"," 0.38575000","-0.07975000"," 0.10216667"," 0.07558333","-0.16191667","-0.04591667","-0.92933333","-0.78391667","-0.12283333"," 0.05108333","-0.59841667","-0.17150000","-0.67183333"," 0.75550000","-0.05041667"," 0.07383333"," 0.44491667"," 0.14291667"," 0.44083333"," 0.15608333"
"CREB3L1","num","Molecular","Microarray Gene Expression"," 0.40900","-0.48350"," 0.27025","-0.17975"," 0.80100"," 0.61125","-0.58100"," 0.25800","-0.30850","-0.65075","-0.17800"," 0.05525","-0.52375","-0.71250","-0.10575"," 0.41800"," 0.11675"," 1.50425"," 1.41900","-0.15100"," 0.47150"," 0.05825","-0.71725","-0.17800","-0.50725"," 0.40400"," 0.23250","-0.00025"," 0.52875","-0.43275"," 0.41275"," 0.66825","-1.42275","-0.27350","-0.57400"," 0.03875","-0.68350","-0.30050"," 0.03150","-0.12500","-0.61950","-1.24250"," 0.24475"," 0.09050","-0.75050"," 0.59625","-0.25550"," 0.27325"," 0.59975","-0.11000","-0.54125"," 0.43300"," 0.60550"," 0.22350"," 0.63500"," 0.72825"," 1.18625","-0.57425"," 0.47750"," 0.29875"," 0.01575","-0.16200"," 0.21175","-0.46700","-0.88650","-0.96225","-0.35850"," 1.75025","-0.52675","-0.11250","-0.49550"," 0.23125","-0.30625","-0.86950"," 0.43200","-0.11875"," 0.98725"," 0.68350"," 0.92375"," 0.46375"," 0.13075"," 0.83575"," 0.91350"," 0.28175"," 0.08000","-0.25900"," 0.14550","-0.00250","-0.19825"," 1.23200","-0.40775"," 0.08150","-0.09925","-0.93750"
"RPS11","num","Molecular","Microarray Gene Expression"," 0.922500"," 1.311750"," 0.890250"," 0.729500"," 0.446750"," 1.186500"," 1.388500"," 1.310750"," 0.544000"," 1.047000","-0.269500"," 0.553125"," 1.116250"," 0.709000"," 1.843000"," 1.616000"," 0.064125"," 0.635500"," 0.291250"," 0.805375"," 0.743750"," 1.618625"," 0.735000"," 0.671875","-0.162375"," 0.748500"," 0.840000"," 0.344375"," 0.255875"," 0.233750","-0.079500"," 0.378375"," 1.117625"," 0.443125"," 0.725250"," 0.733625"," 0.404875"," 1.117625"," 0.964750"," 1.424375"," 0.539500"," 0.931375"," 1.110125"," 1.168375","-0.455125"," 1.776500"," 0.765750"," 0.509875"," 1.077875"," 0.547125"," 0.665000"," 0.300875"," 1.040375"," 2.019000"," 0.595375"," 0.746375"," 0.961875"," 0.571250"," 1.099750"," 1.320000"," 0.245125"," 1.535375","-0.555250"," 1.241625"," 0.131000"," 1.417625"," 0.298625"," 1.179875"," 1.114375"," 0.769000","-0.172125"," 1.777125"," 1.161125"," 1.076500","-0.098875"," 0.983125"," 1.149125"," 0.942750"," 1.908875"," 0.048875"," 0.315000"," 1.199500"," 0.526875","-0.020125"," 0.460250"," 1.518750"," 1.241625"," 0.718000"," 1.661750"," 1.549000"," 0.732500"," 0.859750"," 0.374250"," 0.099500"
"PNMA1","num","Molecular","Microarray Gene Expression","-0.36775"," 0.06850"," 1.01000","-0.87575","-0.35425"," 0.45825","-0.06200"," 1.64500"," 1.16500","-0.19150"," 1.92775","-0.23500"," 0.68375"," 1.46375","-0.91275"," 1.60475"," 0.96300"," 0.41900"," 0.50800"," 0.63300"," 0.25075"," 0.84100","-0.30350"," 0.67975"," 1.40450"," 0.96325"," 0.56800"," 0.15775"," 0.59150"," 0.17350"," 0.46725","-0.34950"," 1.19350"," 0.69500"," 0.82425"," 1.37625","-0.16450"," 1.49975"," 0.78375"," 0.52425"," 2.01775"," 0.82125"," 1.75175"," 1.27275"," 1.72575"," 1.22700"," 1.84400"," 1.16000"," 1.31625"," 0.65750"," 1.32050"," 1.03775"," 0.32325"," 1.38550"," 0.58075"," 0.15150"," 0.86625"," 0.89100","-0.07825"," 0.18425"," 0.79025"," 0.55125"," 0.67150"," 0.54075"," 2.28050"," 0.17100","-0.00750"," 0.33725"," 1.69475"," 0.24175"," 0.55800","-0.50250"," 1.81325","-0.49500"," 0.71675"," 0.75200"," 1.42250"," 0.51425"," 1.66725"," 0.83900"," 0.48500","-0.45925"," 0.79625"," 0.69400","-0.16550","-0.31475","-0.05000"," 1.20275"," 0.89700"," 0.92000"," 1.38950"," 1.22175"," 0.47200"," 2.00125"
"MMP2","num","Molecular","Microarray Gene Expression","-0.7273333","-1.5840000"," 0.1271667","-1.8143333"," 0.2903333"," 0.5001667","-0.9911667","-1.0983333","-1.0923333","-1.3165000","-2.0196667","-1.6050000","-0.5906667","-2.0483333","-1.1335000","-0.6546667","-0.3020000"," 1.3116667"," 0.7391667","-1.1316667","-0.7453333","-0.8991667","-1.7891667","-0.7668333","-1.7768333","-0.4025000","-0.5436667","-0.9920000"," 0.2528333","-1.5241667","-0.3091667","-1.1995000","-0.6225000","-1.9000000","-1.4506667","-0.1375000","-1.8083333","-1.7408333","-0.0935000","-1.2398333","-1.3135000","-0.6833333","-0.3661667","-0.5393333","-1.2191667"," 1.3848333","-1.9405000","-0.2775000","-0.4435000","-0.7421667","-1.4666667"," 0.5373333"," 0.3898333"," 0.2350000"," 1.0226667","-0.5603333"," 1.6956667","-1.6723333","-1.2381667","-1.1973333","-0.4071667","-0.8330000"," 0.7718333","-0.7960000","-2.1330000","-1.1955000","-1.5978333"," 2.9185000","-1.2848333","-1.8745000","-1.3531667","-1.1373333","-1.1565000","-1.5688333"," 1.1990000","-1.8963333"," 0.6315000"," 0.2940000"," 0.3125000","-0.2923333","-0.1065000"," 0.6441667"," 1.0090000"," 0.4025000","-0.4576667","-1.0968333","-1.8953333","-0.3750000","-0.8365000"," 1.6483333","-1.8308333","-1.4603333","-1.4716667","-1.9783333"
"C10orf90","num","Molecular","Microarray Gene Expression","-2.332667","-2.435000","-2.358000","-2.105250","-2.470250","-2.552000","-2.358250","-2.498750","-2.587000","-2.275500","-2.486750","-2.030500","-2.409500","-2.776750","-2.409750","-2.102250","-3.157750","-2.903500","-2.276250","-2.621000","-2.294750","-2.385250","-2.013000","-2.076250","-2.148000","-1.515250","-2.243750","-2.560250","-2.812000","-1.987750","-2.214000","-2.236667","-2.102500","-2.552500","-2.215500","-1.986250","-1.706000","-2.667333","-1.767000","-2.001500","-2.196750","-1.190000","-1.838750","-2.002500","-2.305500","-2.217500","-1.926500","-2.169750","-2.455000","-0.413000","-2.452750","-1.955000","-2.352000","-2.331750","-2.923250","-2.581500","-2.408250","-1.911000","-3.061750","-2.362250","-2.373750","-2.046667","-2.133500","-2.004750","-2.452750","-1.762250","-1.909250","-2.433750","-2.497000","-3.059500","-2.328000","-2.519250","-2.334250","-2.913333","-3.013000","-2.246250","-2.830000","-2.560000","-3.404000","-2.385250","-3.299000","-2.571500","-2.351500","-2.843750","-2.641667","-2.107500","-2.102750","-2.422000","-2.757750","-1.961500","-2.622250","-2.401000","-1.884000","-2.618500"
"ZHX3","num","Molecular","Microarray Gene Expression","-0.22250000","-0.10950000","-0.06966667","-0.69266667","-1.02833333","-1.20766667","-1.41500000","-1.10833333","-1.35416667","-0.49166667","-0.34433333","-0.17883333","-1.68083333","-0.94566667"," 0.16966667","-0.59566667","-0.37950000","-0.64100000","-0.36816667","-1.31583333","-0.75950000","-0.74766667","-0.85583333","-1.21833333","-0.93183333","-0.95583333","-0.12150000","-1.16183333","-0.27483333","-1.39050000","-1.27066667","-0.94116667","-0.47350000","-1.11883333","-0.94316667","-1.02150000","-1.72983333","-0.42050000","-0.57950000"," 0.32450000","-0.48533333"," 0.34483333","-0.17133333","-0.26416667","-1.22600000","-0.82683333","-0.46866667","-0.84366667","-0.18083333","-0.29100000","-0.24266667","-0.51850000","-1.00333333","-0.04000000","-0.78033333","-0.18750000","-0.07216667","-0.02550000","-1.03716667"," 0.07466667","-1.02816667","-0.70883333","-1.18500000","-0.67366667","-0.30800000","-0.45666667","-1.33283333","-0.04433333","-0.52666667","-1.21450000","-0.89683333","-1.70083333","-1.42300000","-0.73866667","-0.72933333"," 0.02700000","-0.85283333","-0.92950000","-0.92216667","-0.55983333","-1.24966667","-0.81450000","-0.91350000","-1.31916667","-0.98250000","-0.70483333","-1.54066667","-1.27933333","-0.91366667","-0.31183333","-1.18583333","-0.45283333","-0.95366667","-1.43933333"
"ERCC5","num","Molecular","Microarray Gene Expression","-0.18850"," 1.09100","-0.65625"," 0.36250"," 0.24525","-0.13575"," 0.94650","-0.06300"," 0.28475"," 0.05750"," 0.25875"," 0.65300"," 0.76625","-0.13525"," 0.29525"," 0.98250"," 0.34300","-0.17975"," 0.35050"," 0.00325","-0.61875"," 0.45575","-0.58875"," 0.34325"," 0.42225","-0.16525"," 0.82275","-0.50000","-0.03700"," 0.27550","-0.24150","-0.29275"," 0.27350","-0.15450"," 0.01350","-0.14775"," 0.08575"," 0.29675","-0.20750"," 0.44450","-1.05475"," 0.64650"," 0.64175"," 0.40100","-0.61125"," 0.52225","-0.67775"," 0.09175"," 0.24075","-0.41100","-0.36975","-0.52725"," 0.73175","-0.37475","-0.50000"," 0.98175"," 0.43350","-0.80150"," 0.39400","-0.09550"," 0.34150","-0.60075","-0.37775"," 0.49050"," 0.07725","-1.05525","-0.49700"," 0.37725","-0.41925","-0.20075","-1.32150","-0.99225","-0.32100"," 0.13825","-0.28600","-0.87550","-0.64075","-0.42350"," 0.05000","-0.11325","-0.10825","-0.21375"," 0.04700","-0.17075","-1.08450"," 0.48400","-0.07725","-0.91275"," 0.12925","-0.04125"," 0.82975","-1.09575"," 0.46075"," 0.36900"
"GPR98","num","Molecular","Microarray Gene Expression","-1.91787500"," 0.33175000","-0.34512500","-0.10712500","-1.70100000","-1.72350000","-1.61928571","-1.31175000","-1.55150000","-1.19800000","-0.38062500","-0.77812500","-0.76087500","-0.08971429","-1.84950000","-1.12012500","-0.61925000","-0.54057143","-2.81000000","-1.17662500","-1.53225000","-2.28162500"," 0.31087500","-0.70025000","-1.61662500","-1.20250000","-1.64437500","-1.36637500","-1.53150000","-1.16850000","-1.34812500","-1.32312500","-1.43437500","-1.10812500"," 0.39675000","-2.03500000","-1.68887500"," 0.04037500","-1.73457143"," 0.79925000","-1.56112500","-1.63112500","-1.04050000","-2.19175000","-1.12000000","-1.23600000","-0.29062500","-1.61537500","-1.72812500"," 0.07150000","-1.49966667","-1.64650000","-1.18825000","-0.77837500","-0.84275000","-2.66928571","-1.43762500"," 0.58162500","-2.14050000","-1.87625000","-0.42125000"," 0.18800000","-2.02250000","-2.44425000","-0.60128571","-1.17050000","-0.92075000","-0.27287500","-0.89087500","-1.01237500","-1.79912500"," 0.41325000","-1.28775000","-2.28442857","-1.70062500","-1.14862500","-2.55050000","-1.99725000"," 0.60750000","-2.09657143","-0.88162500"," 0.41975000","-1.36685714","-2.26937500","-1.63287500","-0.89812500","-1.16428571","-1.22014286","-1.19800000","-1.99100000"," 0.13600000"," 0.23162500","-1.52237500","-0.35787500"
"RXFP3","num","Molecular","Microarray Gene Expression"," 0.6515"," 0.7585"," 0.3035"," 0.6745"," 0.2840"," 0.3985"," 0.5710"," 0.4925"," 0.4495"," 0.5080"," 0.6305"," 0.1125"," 0.4165"," 0.0620"," 0.6170"," 0.3100","-0.0010"," 0.4040"," 1.2145"," 0.3935"," 0.6575"," 0.2480"," 0.5945"," 0.1900"," 0.3510","-0.1400"," 0.7785"," 0.1010"," 0.5240"," 1.3250"," 0.4160"," 0.0775","-0.1640"," 0.6765"," 0.5035"," 0.1010"," 0.7975"," 0.3895"," 0.2680"," 0.0535"," 0.4055"," 0.3285"," 0.1430"," 0.0700"," 0.0235","-0.0135"," 0.4455"," 0.5205"," 0.0465"," 0.0520"," 0.5990"," 0.3115"," 0.1075"," 0.0215"," 0.6260"," 1.2160"," 0.1520"," 0.0225"," 0.6320"," 0.8985"," 1.0985"," 1.3085"," 0.1735"," 0.3450"," 0.4070"," 0.6275"," 0.6805"," 0.2710"," 0.5645"," 0.3450"," 0.5745"," 0.9355"," 0.6565","-0.0050"," 0.0805"," 0.7985"," 0.3005"," 0.8090"," 0.7955"," 0.7480"," 0.3895"," 0.1130"," 0.6340"," 0.4035"," 0.7450"," 0.4555"," 0.6905"," 0.6060"," 0.9540"," 0.9570"," 0.1235"," 0.9080"," 0.6965"," 0.2470"
