"Feature","Data_Type","Category","Sub_Category","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1623","TCGA-25-1625","TCGA-25-1635","TCGA-25-1878","TCGA-23-1809","TCGA-25-2391","TCGA-25-2409","TCGA-25-2042","TCGA-25-2393","TCGA-23-2077","TCGA-25-2396","TCGA-23-2078","TCGA-25-2397","TCGA-23-2079","TCGA-25-2399","TCGA-23-2081","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-42-2591","TCGA-23-2645","TCGA-42-2593","TCGA-23-2647","TCGA-23-1111","TCGA-23-2649","TCGA-25-1316","TCGA-25-1322","TCGA-42-2582","TCGA-42-2588","TCGA-42-2589","TCGA-23-2641","TCGA-42-2590","TCGA-23-2643","TCGA-25-1320","TCGA-23-1121","TCGA-25-1313","TCGA-23-1122","TCGA-25-1315","TCGA-23-1123","TCGA-25-1319","TCGA-25-2408","TCGA-25-1321","TCGA-25-1323","TCGA-25-1326","TCGA-25-1328","TCGA-25-1312","TCGA-25-1329","TCGA-25-1314","TCGA-23-1109","TCGA-25-1318","TCGA-23-1110","TCGA-42-2587","TCGA-57-1586","TCGA-5X-AA5U","TCGA-WR-A838","TCGA-59-A5PD","TCGA-OY-A56Q","TCGA-OY-A56P","TCGA-3P-A9WA"
"YWHAE|14-3-3_epsilon","num","Molecular","Protein Expression","-0.8766286","-0.8827219","-0.5475124","-0.9645626","-0.9534295","-0.5629962","-0.8370472","-0.8145162","-0.6452591","-0.7977339","-0.8752692","-0.8890296","-0.5157753","-0.5022904","-0.7011625","-0.7301563","-0.5264366","-0.7745672","-0.7859700","-0.9461828","-0.9411771","-0.7608098","-0.8632458","-0.7714707","-0.8034105","-0.8539693","-1.0412266","-1.0055796","-0.9770564","-0.8598971","-0.8355031","-0.8864829","-0.8940172","-0.8746464","-0.6379514","-1.0596319","-0.9202449","-0.7278691","-0.8496595","-0.8437393","-0.8078090","-0.6496852","-0.9248882","-0.8344480","-0.8336231","-0.6327937","-0.9075416","-0.8285179","-0.7944113","-0.7974976","-1.0178650","-0.9338982","-0.9336976","-1.0071086","-0.8596659","-0.8721538","-0.7592361","-0.6389583","-0.7657316","-0.9694515","-0.6800080","-0.7222361","-0.9055261","-0.7377687"
"EIF4EBP1|4E-BP1","num","Molecular","Protein Expression","-0.387000048","-0.221890654"," 0.885759011","-0.139203841"," 0.113912333"," 0.120346960","-0.215937568","-0.121665802"," 0.176203406","-0.005177472"," 0.264737609","-0.171285613","-0.066480072"," 2.611107412"," 0.076502781"," 0.225080171","-0.146974889"," 0.098044222","-0.188811654"," 0.275784959","-0.310128734"," 0.103661971"," 0.077373956"," 0.264430942"," 0.561755355","-0.191085856","-0.018059962"," 0.014945719"," 0.267230550","-0.129135696"," 0.291422038","-0.292860644"," 0.190432174","-0.121036750"," 0.113212746","-0.021969963"," 0.288327132","-0.139349199"," 0.349532582"," 0.389753706","-0.161625332"," 0.137472537"," 0.016745660"," 0.874583539","-0.489439859"," 0.470950729","-0.511513203","-0.279801050","-0.181072416"," 0.154548102","-0.092862485","-0.001901423","-0.228593109"," 0.097404878","-0.161619233"," 0.481863254"," 0.182991577"," 0.029600463"," 0.801773169"," 1.229301162"," 0.692569893"," 0.421037333"," 1.185025852"," 0.370964472"
"EIF4EBP1|4E-BP1_pS65","num","Molecular","Protein Expression","-0.021880630"," 0.044904919"," 0.114613887"," 0.103162692","-0.033238798","-0.073204897"," 0.028678655","-0.042616391"," 0.143029387"," 0.432222371"," 0.043996359"," 0.146900444","-0.030808791"," 0.534486555"," 0.297728736"," 0.140695124","-0.023585115"," 0.661250738","-0.060522916"," 0.342625146"," 0.024545013"," 0.256084178","-0.031158508","-0.088273374"," 0.194778413"," 0.131587781"," 0.114539094"," 0.050979506"," 0.027390603"," 0.190394215"," 0.235166275","-0.011988981"," 0.136945031"," 0.206069777"," 0.017583310","-0.128199649"," 0.062410968"," 0.104474052"," 0.053828058"," 0.119947048"," 0.020600765"," 0.005999598"," 0.456266688"," 0.156514853"," 0.072312307"," 0.089792671"," 0.091495217"," 0.137891976","-0.104617648","-0.039764236"," 0.123241813"," 0.100747157"," 0.087122020","-0.018998908","-0.062350264"," 0.193882960"," 0.222079353"," 0.152295681"," 0.673731524"," 0.183365512"," 0.211393251"," 0.353346088"," 0.638318507"," 0.627068547"
"EIF4EBP1|4E-BP1_pT37T46","num","Molecular","Protein Expression","1.22501771","0.32483874","0.84745964","0.41417005","1.51479128","1.15028718","1.32711378","0.15664673","0.27981579","1.40334231","1.36430610","0.60623035","0.84733106","2.55541562","0.76447425","0.81416600","0.97082130","1.05618173","1.16448456","1.60479226","1.31749453","0.99861422","0.87092734","0.28990204","1.15629045","1.04017231","0.52291347","0.82231976","0.94279902","1.36781634","1.06595846","0.87819136","1.79170384","1.43050915","0.33326043","1.03718312","0.57471098","0.03784543","0.52721153","0.31862874","1.17714949","0.48859048","1.27859440","1.47893527","0.95463991","0.48176107","0.97801747","0.66776131","0.23837621","0.52154193","1.05745584","0.55531480","0.70431161","1.14936210","0.74046585","1.23564625","0.95463991","0.30683252","0.51098143","1.50421839","0.72411003","1.00995429","1.15053547","1.18116738"
"TP53BP1|53BP1","num","Molecular","Protein Expression"," 2.0788732"," 2.7814914"," 1.3699994"," 2.1863138"," 1.5578041","-0.1478736"," 1.6645972"," 2.0595155"," 2.1020312"," 2.7007654"," 2.5769674"," 2.6329934"," 1.1199586"," 1.9544691"," 2.6869444"," 2.5798469"," 0.9760122"," 3.0988036"," 2.5655531"," 2.4944832"," 2.1394327"," 2.5377491"," 1.7641781"," 2.4372904"," 2.1343417"," 2.6289246"," 2.2335113"," 2.5310368"," 2.9433213"," 1.3573208"," 2.7843752"," 1.6703171"," 2.1777917"," 2.0302596"," 2.0283066"," 2.3840787"," 2.1879333"," 2.9427122"," 2.0686206"," 1.8596409"," 1.4353892"," 1.6273581"," 2.1964054"," 2.2047328"," 1.3668181"," 1.9486677"," 2.5923985"," 2.2660470"," 1.5377891"," 2.2439273"," 2.2122776"," 1.8387488"," 2.1498016"," 1.5887915"," 2.0522642"," 2.3934726"," 2.1246303"," 2.7729646"," 2.5533967"," 3.4741712"," 2.1932729"," 1.9626249"," 2.9192453"," 2.2628852"
"ACACA ACACB|ACC_pS79","num","Molecular","Protein Expression","-0.295853681","-0.046118285","-0.529828425","-0.231694465","-1.122503307","-0.727110452","-0.268612152"," 0.215264932","-0.578286344","-0.285385120","-0.827215992","-0.778461006","-1.334038312","-0.847513352","-0.414003475","-0.293451844"," 1.653410602","-0.263669196"," 0.125432778","-0.333786505","-0.943019887","-0.304194779","-0.617813275","-0.604374353","-0.001482817","-0.238915827","-0.243950791","-0.215180146","-0.259265989","-0.240343058","-0.436326389","-0.789341914","-0.666910637"," 0.353840152","-0.549603353","-0.640078374","-0.650791763","-0.274929700","-0.731726249"," 0.142990284","-0.760620664","-0.310367394","-0.272513839","-0.843216311","-0.045671133","-0.475079222","-0.503517509","-0.561195560","-0.103983392","-0.584367142","-0.316013244","-0.645068929","-0.156336535","-1.010434993"," 0.091256937","-0.447635200","-0.017462826","-0.456480430","-0.181660193","-0.321435296"," 0.216949749"," 0.055741676"," 0.841992884"," 0.099247165"
"ACACA|ACC1","num","Molecular","Protein Expression","1.06168039","1.49263334","0.82833482","1.41789953","0.37080075","1.41976456","1.32678497","2.03588272","1.19356870","0.80978739","0.68963453","0.45935320","0.54187058","1.02225946","0.87608240","1.15059542","2.88666254","1.14668101","1.58777053","1.09414900","0.49601679","1.03491319","0.90361405","1.06885722","1.47034800","0.98886369","1.15256761","1.02680833","1.08226903","1.13328932","1.00296031","0.64032766","0.52593012","1.62850588","1.02222289","0.75229480","0.89982275","0.93429241","0.68279334","1.39247568","0.51073273","0.87929622","0.92224093","0.23863748","1.29772659","1.06986666","0.62585321","0.55423068","1.16423520","0.71899909","0.73057364","0.45270776","0.92819405","0.09296099","1.41787589","0.80507957","1.25470362","0.96251239","1.12108812","1.18535921","2.22401328","1.46023047","2.24058270","1.56257256"
"AKT1 AKT2 AKT3|Akt","num","Molecular","Protein Expression"," 0.9368378"," 0.9834567"," 0.3295131"," 1.1054535"," 0.1526998","-0.9703825"," 1.0127180"," 1.1350296"," 0.6120858"," 1.4344675"," 1.1800376"," 1.1089148"," 0.6815231"," 0.2656819"," 0.9984712"," 1.3032399"," 0.8823281"," 0.5916310"," 0.8928284"," 0.6283937"," 1.2961114"," 0.9349809"," 1.3340952"," 1.1306773"," 0.9729439"," 0.7464366"," 0.6019103"," 1.1150623"," 0.9216767"," 1.0446014"," 1.0610722"," 1.4031355"," 0.5485473"," 1.5652387"," 1.5920589"," 1.1155954"," 1.7008492"," 0.4742615"," 0.9812335"," 0.8834672"," 1.1201346"," 1.2991449"," 0.3559766"," 0.4204477"," 0.7438182"," 1.3123722"," 0.4327275"," 0.8322648"," 0.9266882"," 1.3362690"," 0.6100470"," 0.7765071"," 0.9203270"," 1.1402065"," 0.7334133"," 0.3433507"," 0.9903390"," 0.8680614"," 0.8270028"," 0.3555372"," 0.8444535"," 0.5386238","-0.3024868"," 1.2316202"
"AKT1 AKT2 AKT3|Akt_pS473","num","Molecular","Protein Expression"," 0.4082952","-1.2062602","-1.2237111","-1.4647678"," 1.3157593","-1.4092102","-0.4626885","-0.9568339","-1.6555623","-0.9499506"," 0.8318721","-1.1013977"," 0.3040820","-1.6910271","-1.1363663","-0.4208091"," 0.6151381","-1.2642018","-1.0362860","-1.1276548"," 1.2242818","-1.5783340","-0.8766356","-1.5285353","-1.5213160","-1.4637319","-1.0551184","-0.6903036","-1.1064600","-1.0867714","-0.9644797","-0.7390812","-0.7568667"," 0.2833606","-0.6532109"," 1.2060967","-0.6421812","-1.8761929","-1.0278011","-1.7307283","-0.4518982","-0.2878951","-1.6738588","-1.4464289"," 0.2253963","-0.9366130","-0.8218318","-0.5820927","-1.1528360","-0.7582868","-1.0975261","-0.9732908","-1.1774360","-0.8398919","-1.4709551","-1.0763688","-0.7135360","-1.8336638","-1.3271236","-2.0470818","-1.4040975","-1.1686314","-1.4353527","-0.7574723"
"AKT1 AKT2 AKT3|Akt_pT308","num","Molecular","Protein Expression"," 0.35114175","-0.38086060","-0.34725256","-0.54056560"," 1.63735107","-0.26599137","-0.21036250","-0.56859370","-0.90903907","-0.40888509"," 1.33262101"," 0.08067882"," 0.46362548","-0.83497996","-0.11838920","-0.18676007"," 0.61938388","-0.47438741","-0.52657326","-0.58894304"," 1.31011768","-0.45234399","-0.75135220","-0.88635726","-0.32968557","-0.79628513","-0.77236225","-0.53460986","-0.49335904","-0.13007312"," 0.07293582","-0.78890450","-0.93694750"," 0.01092817","-0.72379295"," 1.25836798","-0.26432906","-1.16115729","-0.87270997","-0.86693031"," 0.01280996","-0.30859519","-0.66897839","-0.25482577","-0.03648735","-0.63678863","-0.33681308"," 0.06391858","-0.63370543"," 0.05177630","-0.47543450","-0.52242771","-0.72096651","-0.45621954","-0.97060773","-0.15421126","-0.50997637","-0.92630931","-0.65433465","-1.03961844","-0.42969763","-0.43513802","-0.64146333"," 0.13203108"
