"Feature","Data_Type","Category","Sub_Category","TCGA-23-1023","TCGA-23-1026","TCGA-23-1027","TCGA-23-1029","TCGA-23-1109","TCGA-23-1111","TCGA-23-1114","TCGA-23-1120","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2077","TCGA-23-2078","TCGA-23-2081","TCGA-23-2084","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2409","TCGA-3P-A9WA","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"A1BG_RSEM","num","Molecular","mRNA Expression RSEM",26.080051,197.581888,37.322077,42.250586,293.381002,111.888327,77.383035,293.341924,112.589993,50.242023,179.089343,88.892267,47.058734,35.510511,50.822026,119.465972,45.120469,195.026191,58.425028,5.424586,296.966619,68.167504,51.152278,77.423242,27.461586,76.301966,165.498907,13.764945,78.696314,52.507761,313.610344,91.077158,19.906519,151.429983,8.934131,110.287,90.098473,5.536783,230.89018,18.910119,20.921243,38.019922,126.665864,124.447106,60.846036,23.634901,127.848623,212.81186,27.191862,109.516731,57.963127,34.707677,37.355945,20.994449,105.247684,227.111778,115.613757,89.683378,30.980945,30.480313,11.593775,37.360287,29.120748,13.944443
"A1CF_RSEM","num","Molecular","mRNA Expression RSEM",-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.05279237,-0.26997485,-0.26997485,-0.26997485,0.01634102,-0.26997485,-0.26997485,-0.26997485,0.02970048,-0.26997485,0.01517297,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.0159261,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485,-0.26997485
"A2BP1_RSEM","num","Molecular","mRNA Expression RSEM",1.22754256,63.4828745,2.76456041,77.10344286,0.63830043,-0.1573829,28.75702286,3.29709442,52.48806954,0.74168954,5.67824608,33.84954783,17.13868125,17.82195946,1.5465574,1.0586821,337.55006864,7.96603577,229.55267764,3.13724996,10.9114881,1.02388201,-0.1573829,46.88786778,9.08022836,5.00625895,1.59905244,2232.75265185,7.514393,4.58773103,4.52933767,2.45135964,3.53066788,5.88460301,2.10470696,-0.1573829,11.12424892,222.75949858,0.24294448,1.35705281,1.0252302,79.20964857,23.78280134,0.81036284,-0.1573829,1.24169853,-0.1573829,6.6645294,16.40552011,23.53658862,158.53438065,99.82082117,20.32571191,0.24732609,0.18699471,2.39507282,4.72735269,0.58513129,32.83587946,0.09793008,0.08217314,0.5179747,285.67518954,0.16660337
"A2LD1_RSEM","num","Molecular","mRNA Expression RSEM",92.00076,77.74111,111.52071,78.19699,162.91595,82.24456,81.9538,169.10494,66.0164,98.23082,63.43092,129.00393,88.94063,37.58126,141.87055,132.27863,58.92689,35.58308,59.99471,114.02262,64.11444,292.29377,58.67092,82.32267,60.73221,104.61761,64.81582,75.16192,87.87365,84.25614,106.2889,74.70512,253.08121,80.4358,97.77905,148.92787,60.42217,139.45916,66.17825,73.45861,182.7477,55.34476,77.45496,57.83502,64.77626,31.17619,71.17688,201.98771,53.912,65.10138,93.86315,107.51178,102.94129,37.0321,125.21292,39.73416,183.91107,74.71602,116.17083,188.25442,66.43758,27.16609,72.25358,77.13529
"A2M_RSEM","num","Molecular","mRNA Expression RSEM",7303.116,11252.075,5590.688,2783.426,4674.251,4596.565,5560.149,3292.964,11398.203,5879.475,2918.164,12639.061,4898.31,3813.145,8133.001,4576.404,10628.905,3922.713,1868.879,2375.138,2727.706,11493.668,6707.753,4409.472,4057.413,5296.022,2604.849,15274.089,7608.028,8645.668,6615.228,6385.355,10446.009,8174.24,3912.609,5498.257,4535.24,2021.463,922.341,4093.983,6843.645,2395.648,12410.039,3020.151,23681.924,2231.429,5389.039,6956.795,4859.595,3940.492,10532.873,6481.775,7219.683,3674.05,2972.258,7389.961,6515.944,7384.015,6869.373,1119.128,2099.508,8292.74,9458.37,3975.087
"A2ML1_RSEM","num","Molecular","mRNA Expression RSEM",67.5963868,3.289388,29.1981866,95.3639987,1.8274255,0.4590179,12.7640861,0.7035897,19.7695929,76.5901861,157.9212193,4.2553921,23.1174592,19.6062926,1.5426386,4.6980108,249.9280196,2.2991539,11.6157679,0.4394151,19.1820147,328.5065049,38.6215642,30.7746528,39.975417,38.9779475,62.9768647,1045.0052557,3.9904603,0.3150679,3.3509726,1.1436844,21.4444094,67.1532633,75.2213578,2.7933455,1.3234746,1.1335044,0.2410317,20.7087589,30.1485422,32.0416814,345.8528491,86.8060875,190.390298,49.0842248,20.3266311,485.2663721,8.8353722,286.6886738,-0.1586796,0.1340999,25.4057666,0.851578,7.4052957,250.230895,3.8317873,5.401607,41.0194115,2.1357694,1.9936704,82.5567464,226.6419533,188.7421513
"A4GALT_RSEM","num","Molecular","mRNA Expression RSEM",593.53409,1154.48674,381.54229,249.86565,86.12548,652.26173,354.0457,238.52873,240.66587,194.93299,104.37012,215.10663,139.1157,855.36591,151.70994,195.87525,700.19322,72.63729,274.41251,35.12679,350.098,324.47057,271.98529,253.38401,216.25348,487.70772,141.71773,68.14536,288.55125,823.21852,1726.92328,311.82926,1530.22957,288.14111,671.35192,1492.97129,1638.94996,148.58923,481.87069,1167.32879,175.66127,102.16479,945.70978,420.26631,353.81134,72.92593,93.51057,367.0059,133.44772,795.46356,241.80888,445.13301,203.09735,474.21924,65.90497,57.78768,615.24551,723.6326,96.33544,251.43609,90.33493,95.93414,222.40461,117.76255
"A4GNT_RSEM","num","Molecular","mRNA Expression RSEM",-0.04547403,-0.04547403,1.40263733,0.27047407,0.85588485,0.30493246,0.26646506,0.28059205,2.57594065,0.97300519,0.81674928,-0.04547403,1.37428791,0.36602212,0.19583014,-0.04547403,-0.04547403,-0.04547403,0.51111007,0.29385996,-0.04547403,-0.04547403,2.19174395,1.57932008,-0.04547403,0.48629239,1.54629349,2.83795803,-0.04547403,5.86743257,0.48543332,4.75674614,0.51158733,1.75571648,0.27486489,-0.04547403,-0.04547403,0.32106395,-0.04547403,1.32703887,0.84767593,0.99095027,0.84366692,3.79152948,0.63013946,0.3507497,-0.04547403,3.560916,0.61286254,-0.04547403,-0.04547403,0.28670101,1.88810924,-0.04547403,0.34464074,1.40025101,0.20604357,0.37509012,1.5118351,0.53306417,0.49717399,12.70527483,1.5448617,1.42249147
"AAA1_RSEM","num","Molecular","mRNA Expression RSEM",-0.57090055,-0.31966282,-0.57090055,-0.57090055,-0.57090055,-0.41337814,-0.57090055,-0.42432018,-0.57090055,-0.57090055,-0.44169871,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.06606505,-0.57090055,-0.32069266,-0.57090055,-0.57090055,-0.57090055,-0.40329431,-0.57090055,-0.44375839,-0.57090055,-0.57090055,-0.03079308,-0.57090055,-0.57090055,-0.57090055,-0.40483907,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,0.01147322,-0.57090055,-0.57090055,-0.57090055,-0.39278137,-0.57090055,-0.57090055,-0.57090055,-0.38235425,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.57090055,0.30420486,-0.57090055,-0.57090055,-0.57090055,-0.57090055,-0.24096599
"AAAS_RSEM","num","Molecular","mRNA Expression RSEM",635.96,966.787,1219.6635,895.8979,1082.6957,1670.8261,1144.981,679.433,1017.2672,1077.4767,581.2362,747.4676,1187.3161,743.1982,725.4188,1517.8346,511.1666,702.2521,1037.2926,1120.3037,1146.6818,692.8914,856.339,954.8985,1152.9262,821.453,1076.618,1824.4178,1102.3625,819.5614,828.9496,673.8239,683.4081,752.7474,1330.3866,736.9964,933.9311,1574.1424,1036.8257,960.626,1218.6881,1954.6244,471.6269,960.701,1002.9527,1969.6976,859.1819,1060.8779,1334.9886,1074.9173,755.0234,1046.7551,855.7471,964.8695,1620.5459,1221.8061,770.2608,1304.2085,937.3242,604.1278,1209.409,912.8135,1071.8826,1627.4823
