Feature,Data_Type,Category,Sub_Category,TCGA-23-1023,TCGA-23-1026,TCGA-23-1027,TCGA-23-1029,TCGA-23-1109,TCGA-23-1111,TCGA-23-1114,TCGA-23-1120,TCGA-23-1122,TCGA-23-1123,TCGA-23-1809,TCGA-23-2077,TCGA-23-2078,TCGA-23-2081,TCGA-23-2084,TCGA-25-1312,TCGA-25-1313,TCGA-25-1314,TCGA-25-1315,TCGA-25-1316,TCGA-25-1317,TCGA-25-1318,TCGA-25-1319,TCGA-25-1320,TCGA-25-1321,TCGA-25-1322,TCGA-25-1323,TCGA-25-1324,TCGA-25-1326,TCGA-25-1328,TCGA-25-1329,TCGA-25-1623,TCGA-25-1625,TCGA-25-1626,TCGA-25-1627,TCGA-25-1630,TCGA-25-1631,TCGA-25-1632,TCGA-25-1634,TCGA-25-1635,TCGA-25-1870,TCGA-25-1871,TCGA-25-2042,TCGA-25-2391,TCGA-25-2392,TCGA-25-2393,TCGA-25-2396,TCGA-25-2397,TCGA-25-2399,TCGA-25-2400,TCGA-25-2401,TCGA-25-2404,TCGA-25-2409,TCGA-3P-A9WA,TCGA-57-1582,TCGA-57-1583,TCGA-57-1585,TCGA-57-1993,TCGA-57-1994,TCGA-59-A5PD,TCGA-5X-AA5U,TCGA-OY-A56P,TCGA-OY-A56Q,TCGA-WR-A838
A1BG_RSEM,num,Molecular,mRNA Expression RSEM,26.08005098,197.5818881,37.32207703,42.2505857,293.3810018,111.8883272,77.38303515,293.3419239,112.5899932,50.2420226,179.0893427,88.89226741,47.05873433,35.51051099,50.82202593,119.4659723,45.12046895,195.0261914,58.4250282,5.424585546,296.9666191,68.16750377,51.15227787,77.423242,27.46158611,76.3019659,165.4989067,13.76494495,78.69631416,52.50776104,313.6103442,91.07715795,19.90651944,151.4299831,8.934131114,110.2870005,90.09847288,5.536782628,230.8901797,18.91011903,20.92124305,38.01992204,126.665864,124.4471059,60.84603629,23.63490142,127.8486227,212.8118604,27.19186154,109.516731,57.96312706,34.7076766,37.35594457,20.99444904,105.2476842,227.111778,115.6137567,89.68337841,30.98094458,30.48031286,11.5937751,37.36028656,29.12074822,13.94444291
A1CF_RSEM,num,Molecular,mRNA Expression RSEM,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.052792367,-0.269974849,-0.269974849,-0.269974849,0.016341015,-0.269974849,-0.269974849,-0.269974849,0.029700475,-0.269974849,0.015172975,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.015926097,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849,-0.269974849
A2BP1_RSEM,num,Molecular,mRNA Expression RSEM,1.227542564,63.4828745,2.764560415,77.10344286,0.638300426,-0.157382901,28.75702286,3.297094422,52.48806954,0.741689544,5.678246083,33.84954783,17.13868125,17.82195946,1.546557398,1.058682097,337.5500686,7.966035769,229.5526776,3.137249958,10.9114881,1.023882011,-0.157382901,46.88786778,9.080228359,5.006258946,1.599052443,2232.752652,7.514393004,4.587731033,4.529337668,2.451359639,3.530667881,5.88460301,2.104706964,-0.157382901,11.12424892,222.7594986,0.242944483,1.357052812,1.025230198,79.20964857,23.78280134,0.810362838,-0.157382901,1.241698531,-0.157382901,6.664529397,16.40552011,23.53658862,158.5343807,99.82082117,20.32571191,0.247326092,0.186994708,2.395072817,4.727352686,0.585131287,32.83587946,0.09793008,0.082173141,0.517974704,285.6751895,0.166603374
A2LD1_RSEM,num,Molecular,mRNA Expression RSEM,92.00075898,77.74111198,111.5207096,78.19698819,162.9159541,82.24455542,81.95379709,169.1049409,66.01640157,98.23081577,63.43092381,129.0039269,88.94063019,37.581259,141.870549,132.2786251,58.92689365,35.58308123,59.99471181,114.0226226,64.11444477,292.2937741,58.67091903,82.3226721,60.73221039,104.6176088,64.81581858,75.16192043,87.87365019,84.25614379,106.2889035,74.70512224,253.0812116,80.43580222,97.77904655,148.9278715,60.42217433,139.4591574,66.17825062,73.45860798,182.7477008,55.34475767,77.45496353,57.83502025,64.77625735,31.17619402,71.17688007,201.9877054,53.91200386,65.10138031,93.86315454,107.5117816,102.9412852,37.03209538,125.212921,39.73416145,183.9110694,74.71601834,116.1708313,188.254424,66.43757788,27.16609262,72.25358274,77.13528861
A2M_RSEM,num,Molecular,mRNA Expression RSEM,7303.115751,11252.07503,5590.688002,2783.425989,4674.250729,4596.564766,5560.1486,3292.964243,11398.2029,5879.474867,2918.164206,12639.06107,4898.310318,3813.145446,8133.001088,4576.403656,10628.90487,3922.712995,1868.879115,2375.137526,2727.706466,11493.66807,6707.753364,4409.471937,4057.413405,5296.021996,2604.849409,15274.08879,7608.027722,8645.667953,6615.227765,6385.355198,10446.00873,8174.240151,3912.608811,5498.256924,4535.240209,2021.462702,922.3410119,4093.983181,6843.644725,2395.64836,12410.03918,3020.151254,23681.92369,2231.429364,5389.039098,6956.794581,4859.594938,3940.492202,10532.87258,6481.77502,7219.682973,3674.049858,2972.257985,7389.960699,6515.943989,7384.015393,6869.373061,1119.127809,2099.507842,8292.739837,9458.369559,3975.086511
A2ML1_RSEM,num,Molecular,mRNA Expression RSEM,67.59638678,3.289387991,29.19818662,95.36399873,1.827425511,0.459017859,12.76408608,0.703589703,19.76959289,76.59018612,157.9212193,4.255392089,23.11745921,19.6062926,1.542638551,4.698010758,249.9280196,2.299153866,11.61576785,0.439415094,19.18201472,328.5065049,38.62156417,30.77465281,39.97541698,38.9779475,62.97686466,1045.005256,3.990460291,0.315067937,3.350972646,1.143684411,21.44440944,67.15326332,75.22135781,2.793345476,1.323474583,1.133504434,0.241031741,20.70875887,30.14854216,32.04168135,345.8528491,86.8060875,190.390298,49.08422482,20.32663114,485.2663721,8.835372151,286.6886738,-0.158679587,0.134099916,25.4057666,0.851577964,7.405295714,250.230895,3.831787261,5.401607019,41.01941148,2.135769442,1.993670424,82.55674636,226.6419533,188.7421513
A4GALT_RSEM,num,Molecular,mRNA Expression RSEM,593.5340876,1154.486743,381.54229,249.865653,86.12548118,652.2617332,354.0457032,238.5287259,240.6658658,194.9329917,104.370125,215.1066324,139.1156984,855.36591,151.7099363,195.8752543,700.1932201,72.63729451,274.4125065,35.12679022,350.0979975,324.4705677,271.9852918,253.3840097,216.2534841,487.7077192,141.7177264,68.14536249,288.5512481,823.2185224,1726.923283,311.8292647,1530.229566,288.1411094,671.351916,1492.971292,1638.949958,148.5892317,481.8706857,1167.328793,175.661272,102.1647886,945.7097799,420.2663056,353.8113382,72.92592847,93.51057243,367.0058962,133.4477151,795.4635578,241.8088755,445.1330097,203.0973466,474.2192444,65.90496746,57.78767765,615.2455085,723.6326028,96.33543923,251.4360907,90.33492652,95.93413717,222.4046052,117.7625486
A4GNT_RSEM,num,Molecular,mRNA Expression RSEM,-0.045474027,-0.045474027,1.402637327,0.27047407,0.855884849,0.304932458,0.266465061,0.280592045,2.575940653,0.973005186,0.816749284,-0.045474027,1.374287905,0.36602212,0.195830139,-0.045474027,-0.045474027,-0.045474027,0.511110068,0.293859956,-0.045474027,-0.045474027,2.191743948,1.579320084,-0.045474027,0.486292393,1.546293485,2.837958032,-0.045474027,5.867432565,0.485433319,4.756746143,0.511587331,1.755716484,0.274864889,-0.045474027,-0.045474027,0.321063947,-0.045474027,1.327038869,0.847675926,0.990950274,0.843666917,3.791529479,0.630139457,0.350749704,-0.045474027,3.560916004,0.612862537,-0.045474027,-0.045474027,0.286701012,1.888109236,-0.045474027,0.344640738,1.400251012,0.206043567,0.375090117,1.511835098,0.533064165,0.497173989,12.70527483,1.544861697,1.422491467
AAA1_RSEM,num,Molecular,mRNA Expression RSEM,-0.570900552,-0.319662825,-0.570900552,-0.570900552,-0.570900552,-0.413378144,-0.570900552,-0.42432018,-0.570900552,-0.570900552,-0.441698708,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.066065051,-0.570900552,-0.320692663,-0.570900552,-0.570900552,-0.570900552,-0.403294307,-0.570900552,-0.443758385,-0.570900552,-0.570900552,-0.030793076,-0.570900552,-0.570900552,-0.570900552,-0.404839065,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,0.01147322,-0.570900552,-0.570900552,-0.570900552,-0.392781371,-0.570900552,-0.570900552,-0.570900552,-0.382354254,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.570900552,0.304204863,-0.570900552,-0.570900552,-0.570900552,-0.570900552,-0.240965986
AAAS_RSEM,num,Molecular,mRNA Expression RSEM,635.9599729,966.7869885,1219.663483,895.8978672,1082.695662,1670.826095,1144.981047,679.4330205,1017.267246,1077.476729,581.2362057,747.4675687,1187.3161,743.1982145,725.418826,1517.834649,511.166607,702.2520978,1037.29261,1120.303663,1146.681786,692.8913656,856.3390196,954.8984919,1152.926164,821.4530349,1076.618023,1824.417802,1102.362537,819.56138,828.9496241,673.8239177,683.4080802,752.7473618,1330.386571,736.9963543,933.9310521,1574.142437,1036.825741,960.6259794,1218.688059,1954.624352,471.6269344,960.701012,1002.952696,1969.697565,859.181921,1060.877853,1334.98857,1074.917284,755.0233503,1046.755053,855.7470959,964.8694891,1620.545924,1221.80608,770.2608014,1304.208535,937.3241925,604.1278145,1209.409029,912.8135472,1071.882633,1627.48227
AACS_RSEM,num,Molecular,mRNA Expression RSEM,966.889075,498.0450002,986.5605136,1797.412202,550.654149,860.0106082,646.6063591,447.2514801,554.1473491,750.2781818,1960.285124,482.4271123,551.3293541,791.8090948,1529.522847,914.8832022,804.5277773,1530.41616,1019.674566,605.5360242,934.563922,825.2735113,1530.57858,1020.73958,884.2773859,1030.072956,841.2696068,937.3308706,856.6264618,784.8064524,691.5852264,933.1265009,437.1895323,1034.320251,870.65959,636.5444112,1052.72365,492.3916078,510.5745789,1270.02135,1119.870591,470.6435076,665.8798675,707.0244518,1547.980773,440.813829,610.6395072,1054.639052,1107.176271,1268.373942,660.9805702,791.3670791,675.5960918,862.468958,552.9721211,1194.565442,784.596466,1841.869003,1029.350185,904.0068318,578.9280715,1627.392779,731.5824261,1366.823947
AACSL_RSEM,num,Molecular,mRNA Expression RSEM,0.083402655,0.083402655,0.083402655,9.407599265,0.083402655,8.037528267,1.145570618,117.418077,25.745853,0.083402655,3.01942385,0.083402655,3.950933453,0.316875927,0.083402655,0.083402655,0.083402655,0.399864571,0.083402655,0.083402655,28.54720725,0.083402655,11.5101588,0.083402655,0.083402655,0.385238635,8.213581199,0.083402655,0.494445622,0.083402655,0.083402655,9.307384519,0.39953955,2.536659627,0.810474177,0.083402655,9.244763846,0.915347554,1.627576459,0.083402655,0.590218417,3.612370123,0.083402655,0.083402655,3.150623912,1.882284423,34.27938236,0.083402655,9.423741964,1.035388568,0.637888134,0.083402655,0.522289071,0.343635973,0.52618932,0.083402655,3.79470679,1.515444284,0.083402655,50.64147095,2.239157258,0.372887844,61.09478981,156.2829804
AADAC_RSEM,num,Molecular,mRNA Expression RSEM,211.986502,43.85680939,78.01789269,122.0608593,135.7242571,12.51178138,50.22443202,132.7733136,53.65199788,21.22135938,12.32073411,202.8669491,124.7383091,67.28592205,35.56583599,42.47991488,128.9263466,17.00557419,97.10137706,0.327639096,54.82841888,106.4146326,108.2000416,153.0977423,217.0766703,25.47511504,39.62628741,18.70906791,141.8552944,1.075232672,1.066071962,1.355231757,18.53514719,50.43194201,113.9343804,25.17241333,21.3776225,77.81263968,48.89785504,115.8200262,71.75621565,34.92405525,17.64204437,54.45867139,70.33325207,51.03030895,47.02176823,137.9108787,28.71362509,85.4925008,38.37671349,64.53956781,92.30700675,649.4807582,86.05183515,177.2793608,92.33528546,23.72581777,320.3576986,53.43240637,2.96937537,12.741994,50.3186944,2.879759731
AADACL2_RSEM,num,Molecular,mRNA Expression RSEM,-0.023864205,-0.023864205,0.187664422,-0.023864205,0.897900826,0.692814695,0.295136973,0.976577371,-0.023864205,-0.023864205,-0.023864205,1.551911808,-0.023864205,0.6073052,-0.023864205,-0.023864205,-0.023864205,0.261265061,0.260776993,3.445908091,1.979654514,0.888432309,0.738790691,-0.023864205,0.554593867,0.791892479,9.743155331,-0.023864205,-0.023864205,-0.023864205,-0.023864205,-0.023864205,1.40031792,1.449710391,0.303726968,-0.023864205,-0.023864205,-0.023864205,-0.023864205,-0.023864205,-0.023864205,-0.023864205,2.704044887,5.021098423,-0.023864205,0.786523732,-0.023864205,-0.023864205,-0.023864205,2.549424977,-0.023864205,0.315831051,-0.023864205,2.554793724,2.369620764,-0.023864205,1.776618268,-0.023864205,0.374301586,-0.023864205,-0.023864205,-0.023864205,0.301384242,-0.023864205
AADACL3_RSEM,num,Molecular,mRNA Expression RSEM,0.014175671,30.29695413,0.673592693,0.014175671,0.492968006,0.014175671,1.671338719,0.707161908,2.799406318,0.014175671,0.930280555,3.288644662,0.919327458,1.32570765,4.885058586,0.014175671,0.014175671,0.014175671,0.014175671,0.014175671,0.014175671,7.596761497,1.995063593,0.014175671,0.014175671,0.86172228,0.014175671,1.545986606,0.014175671,0.014175671,2.270513705,0.406661656,0.606048593,0.014175671,2.056116968,0.014175671,0.37146976,1.571848085,0.014175671,0.378771825,3.809930957,0.289422949,0.486578699,0.59661676,2.885408415,0.014175671,0.928759292,0.014175671,0.363964861,0.014175671,0.014175671,34.59695756,0.014175671,8.051619285,0.428669268,0.782210907,0.014175671,1.801558875,0.841438767,3.087432209,0.590734541,0.014175671,1.365970424,1.573876437
AADACL4_RSEM,num,Molecular,mRNA Expression RSEM,-0.00865761,-0.00865761,-0.00865761,0.319476721,0.459355132,2.538695794,1.287225161,-0.00865761,0.671998074,-0.00865761,-0.00865761,-0.00865761,1.170940699,1.273346368,-0.00865761,7.621605629,0.768852226,-0.00865761,-0.00865761,-0.00865761,0.805234492,0.454596688,-0.00865761,-0.00865761,-0.00865761,0.819807225,-0.00865761,-0.00865761,0.367457692,0.549567289,0.267034708,-0.00865761,0.280616099,-0.00865761,-0.00865761,1.150816449,1.737790278,-0.00865761,-0.00865761,-0.00865761,-0.00865761,-0.00865761,1.838312396,0.27595679,-0.00865761,-0.00865761,0.438338673,-0.00865761,-0.00865761,-0.00865761,-0.00865761,1.02620471,1.999504668,-0.00865761,0.396504024,-0.00865761,1.819873427,3.922411502,0.39571095,-0.00865761,0.273181031,-0.00865761,-0.00865761,-0.00865761
AADAT_RSEM,num,Molecular,mRNA Expression RSEM,35.56016061,20.93425424,58.62372889,78.27689858,134.48172,68.78825706,122.002598,77.79733047,33.30311149,13.44827231,70.13818823,21.11890594,140.0107447,28.42593799,17.17297354,29.83823845,16.38927837,19.8660814,68.42184843,119.2999286,120.8710033,24.47175987,53.33277768,65.27864656,50.82011094,21.62408845,149.0880647,219.8136156,25.16843628,146.5924157,29.63981462,41.97218014,6.276242148,82.30914798,30.19675224,46.55891098,78.38154917,66.90393245,124.0754341,42.76148943,92.62499405,125.1245715,56.66878926,48.99210291,61.0324468,269.3379926,80.96255019,32.07256796,77.01609147,146.7204877,64.52284651,60.00681842,172.6006743,50.2258921,59.74365684,22.46331071,62.28702575,44.71063951,50.68300376,47.72410272,191.1316353,44.63941044,93.41447878,124.9991312
