Feature,Data_Type,Category,Sub_Category,TCGA-23-1023,TCGA-23-1026,TCGA-23-1027,TCGA-23-1029,TCGA-23-1109,TCGA-23-1111,TCGA-23-1114,TCGA-23-1120,TCGA-23-1122,TCGA-23-1123,TCGA-23-1809,TCGA-23-2077,TCGA-23-2078,TCGA-23-2081,TCGA-23-2084,TCGA-25-1312,TCGA-25-1313,TCGA-25-1314,TCGA-25-1315,TCGA-25-1316,TCGA-25-1317,TCGA-25-1318,TCGA-25-1319,TCGA-25-1320,TCGA-25-1321,TCGA-25-1322,TCGA-25-1323,TCGA-25-1324,TCGA-25-1326,TCGA-25-1328,TCGA-25-1329,TCGA-25-1623,TCGA-25-1625,TCGA-25-1626,TCGA-25-1627,TCGA-25-1630,TCGA-25-1631,TCGA-25-1632,TCGA-25-1634,TCGA-25-1635,TCGA-25-1870,TCGA-25-1871,TCGA-25-2042,TCGA-25-2391,TCGA-25-2392,TCGA-25-2393,TCGA-25-2396,TCGA-25-2397,TCGA-25-2399,TCGA-25-2400,TCGA-25-2401,TCGA-25-2404,TCGA-25-2409,TCGA-3P-A9WA,TCGA-57-1582,TCGA-57-1583,TCGA-57-1585,TCGA-57-1993,TCGA-57-1994,TCGA-59-A5PD,TCGA-5X-AA5U,TCGA-OY-A56P,TCGA-OY-A56Q,TCGA-WR-A838
A1BG_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,-1.1543,1.172,-0.7489,-0.6076,1.6317,0.5126,0.0866,1.6315,0.5198,-0.4097,1.0579,0.2466,-0.4846,-0.8054,-0.3965,0.5884,-0.5326,1.1569,-0.2367,-2.8341,1.6458,-0.0594,-0.3891,0.0872,-1.0962,0.0704,0.9663,-1.8625,0.106,-0.3592,1.7093,0.2746,-1.4564,0.8632,-2.3252,0.4959,0.2621,-2.8139,1.3531,-1.5135,-1.4011,-0.7278,0.6562,0.6357,-0.1901,-1.2648,0.667,1.2583,-1.1074,0.4878,-0.2458,-0.8314,-0.7479,-1.3972,0.4418,1.3339,0.5505,0.2568,-0.9601,-0.9785,-2.0483,-0.7477,-1.0301,-1.8484
A1CF_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4489,-0.4704,-0.4704,-0.4704,-0.4315,-0.4704,-0.4504,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704,-0.4704
A2BP1_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,-0.8792,1.0889,-0.5724,1.201,-1.0589,-1.3476,0.6367,-0.495,0.9796,-1.0231,-0.2371,0.729,0.3472,0.3688,-0.8009,-0.9253,2.0587,-0.0649,1.834,-0.5172,0.1013,-0.9353,-1.3476,0.9149,0.0036,-0.2992,-0.789,3.162,-0.0951,-0.3414,-0.3475,-0.6232,-0.464,-0.2193,-0.6851,-1.3476,0.1116,1.8165,-1.2204,-0.8462,-0.9349,1.2165,0.5297,-1.0005,-1.3476,-0.8755,-1.3476,-0.1566,0.3231,0.5239,1.6186,1.3503,0.4418,-1.2183,-1.2473,-0.6328,-0.327,-1.0782,0.7118,-1.2929,-1.3014,-1.1035,1.9614,-1.2575
A2LD1_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,0.097,-0.2181,0.4578,-0.2072,1.1701,-0.1128,-0.1194,1.2402,-0.5233,0.2198,-0.5978,0.7312,0.0337,-1.5688,0.9099,0.7783,-0.735,-1.6695,-0.7016,0.4994,-0.5779,2.2716,-0.7431,-0.111,-0.6788,0.3379,-0.5576,-0.2811,0.0111,-0.0676,0.3676,-0.2925,1.9999,-0.1544,0.2112,1.0012,-0.6884,0.8777,-0.5188,-0.324,1.3863,-0.8517,-0.225,-0.7699,-0.5587,-1.9125,-0.3829,1.5748,-0.9005,-0.5494,0.1346,0.3891,0.3076,-1.5959,0.6752,-1.466,1.3982,-0.2923,0.5344,1.4422,-0.5115,-2.1645,-0.3549,-0.2327
A2M_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,0.5111,1.2089,0.0797,-1.0461,-0.2093,-0.2364,0.0708,-0.7748,1.2297,0.161,-0.9698,1.3966,-0.1337,-0.538,0.6848,-0.2435,1.1169,-0.4923,-1.689,-1.3021,-1.0787,1.2432,0.3738,-0.3035,-0.4378,-0.0077,-1.1531,1.7023,0.5771,0.7835,0.3513,0.2942,1.0889,0.693,-0.4964,0.0528,-0.2581,-1.5623,-2.8283,-0.4233,0.4061,-1.2882,1.367,-0.9143,2.4104,-1.4029,0.0204,0.4326,-0.1466,-0.485,1.1023,0.3184,0.4925,-0.598,-0.9401,0.5301,0.3269,0.5288,0.4122,-2.5164,-1.5012,0.7162,0.9285,-0.4709
A2ML1_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,0.7776,-0.7677,0.3202,0.967,-1,-1.3688,-0.1178,-1.2824,0.1116,0.8462,1.2459,-0.6544,0.1949,0.1072,-1.0592,-0.6094,1.5005,-0.914,-0.1663,-1.3763,0.0956,1.6524,0.4716,0.3486,0.4903,0.4766,0.7387,2.2963,-0.6833,-1.4267,-0.7597,-1.1543,0.1548,0.774,0.8363,-0.8362,-1.1094,-1.157,-1.459,0.1362,0.3375,0.3704,1.681,0.9152,1.3495,0.6022,0.1263,1.8693,-0.3051,1.5767,-1.5794,-1.5092,0.2454,-1.236,-0.3927,1.5012,-0.7013,-0.5445,0.5044,-0.9423,-0.9681,0.8875,1.4462,1.3447
A4GALT_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,0.9516,1.7399,0.4285,-0.072,-1.3267,1.0634,0.34,-0.1269,-0.1164,-0.3652,-1.1011,-0.249,-0.763,1.3845,-0.6609,-0.3595,1.1474,-1.5262,0.0387,-2.371,0.3268,0.2368,0.0282,-0.0555,-0.2427,0.7191,-0.7412,-1.6009,0.0981,1.3392,2.2173,0.1898,2.074,0.0964,1.0975,2.0447,2.1553,-0.6854,0.7048,1.7531,-0.4881,-1.1262,1.5035,0.5429,0.3392,-1.5216,-1.2301,0.3826,-0.812,1.2985,-0.1108,0.611,-0.3168,0.6859,-1.64,-1.7934,0.9942,1.1864,-1.1952,-0.0646,-1.2707,-1.2001,-0.2096,-0.9592
A4GNT_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,-1.5908,-1.5908,0.2915,-1.0768,-0.263,-1.0193,-1.0835,-1.0597,1.1454,-0.1315,-0.3087,-1.5908,0.266,-0.921,-1.2068,-1.5908,-1.5908,-1.5908,-0.7043,-1.0376,-1.5908,-1.5908,0.9014,0.4439,-1.5908,-0.7398,0.4162,1.2973,-1.5908,2.5468,-0.7411,2.1679,-0.7036,0.5859,-1.0694,-1.5908,-1.5908,-0.9929,-1.5908,0.2229,-0.2725,-0.1121,-0.2771,1.7738,-0.5415,-0.9452,-1.5908,1.6679,-0.5643,-1.5908,-1.5908,-1.0495,0.6867,-1.5908,-0.9549,0.2894,-1.1885,-0.9068,0.387,-0.6733,-0.7242,4.0306,0.415,0.3092
AAA1_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1242,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905,0.3518,-1.1905,-1.1905,-1.1905,-1.1905,-1.1905
AAAS_RSEM_logz,num,Molecular,mRNA Expression RSEM log_zscores,-1.253,0.0289,0.7404,-0.2042,0.3756,1.7043,0.5469,-1.0507,0.1848,0.3608,-1.5283,-0.7586,0.6581,-0.7762,-0.8503,1.4101,-1.9213,-0.9496,0.2444,0.4802,0.5514,-0.9907,-0.3424,-0.0089,0.5681,-0.4698,0.3584,1.9736,0.4307,-0.4768,-0.4419,-1.0761,-1.0329,-0.7371,1.0065,-0.8018,-0.0769,1.5217,0.2431,0.0094,0.7379,2.1848,-2.1675,0.0096,0.1414,2.2083,-0.3323,0.3133,1.017,0.3535,-0.7279,0.2722,-0.3446,0.0229,1.6107,0.7457,-0.6667,0.9456,-0.0658,-1.4102,0.7145,-0.1469,0.3449,1.6238
