"Feature","Data_Type","Category","Sub_Category","TCGA-23-1023","TCGA-23-1026","TCGA-23-1027","TCGA-23-1029","TCGA-23-1109","TCGA-23-1111","TCGA-23-1114","TCGA-23-1120","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2077","TCGA-23-2078","TCGA-23-2081","TCGA-23-2084","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2409","TCGA-3P-A9WA","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"BIOCARTA_PROTEASOME_PATHWAY","num","Molecular","ssGSEA",3223.83678,4138.669,2445.89099,-2138.51242,-3533.3539,-2287.62087,-3526.88931,-3953.82651,-2290.79312,1494.78346,-1561.61811,-980.57258,-4786.40441,-737.36268,4025.18742,-3443.17626,-784.39881,-4800.72138,2060.22455,-1321.61789,-6963.78628,-6877.08571,2768.79548,-5684.33739,-1730.82909,-3823.27613,-2594.74054,-6468.16691,-91.48509,-8493.61583,-6146.6565,-5312.42014,-778.16378,-7272.41896,-153.63787,-2926.52388,-1528.43024,-2547.07989,-2121.91993,919.72055,-5129.72446,-4689.66782,-7067.68247,-1118.64567,251.01136,2409.94946,1041.88764,3919.5802,-5371.05935,695.57693,1922.83701,3064.5596,-1189.20527,133.82939,4705.90868,-22.76682,-5112.05466,-4373.46527,-6139.89485,2236.12045,-6508.7788,-6616.36934,-7013.85576,-651.96547
"ST_INTERFERON_GAMMA_PATHWAY","num","Molecular","ssGSEA",-2573.74806,-1236.62508,-5008.92842,1472.85038,-7825.27546,-466.40398,-2929.35835,39.72782,-3299.50015,2519.83256,-5075.12278,223.54243,-2943.1084,-1818.58636,1330.73404,-2271.30582,2487.86697,-2568.33396,-5804.20736,-2453.69237,-5478.79155,-2749.55961,-2648.22268,-3747.60217,-5168.68542,-692.87323,-5910.1776,-5167.63559,2490.54669,1705.15992,-4091.57251,5270.21862,420.23644,2364.7939,-4620.65964,2313.44945,-1889.15571,-5236.25937,-5022.14197,-959.18722,-2918.83342,-7716.40924,1484.59053,526.85393,691.84352,-2352.24935,-691.56364,1777.29091,2109.64078,-1867.95801,-588.44459,756.95287,-3865.03865,-2024.52761,-6206.58083,-6517.02389,-2486.52363,-4184.7515,1105.90173,-5435.99397,-5097.76582,-2448.3816,-3570.72622,-2925.26108
"ST_WNT_CA2_CYCLIC_GMP_PATHWAY","num","Molecular","ssGSEA",-215.88341,-1079.3785,-3079.34099,-669.00049,-4159.78462,-1723.04065,-1977.78187,-2524.5014,-2138.6107,2882.10354,-101.21593,-1053.6397,-452.94625,-1217.0873,-4529.61416,-1331.36593,-639.92127,461.21377,71.7183,-2232.88918,-584.72057,838.83115,-574.062,-1386.72826,-3103.69345,-141.73082,-1213.81655,556.36133,1356.23301,-1077.76358,-561.85512,-1582.17907,-1676.63796,2441.7846,-109.87438,-3699.44878,926.70425,-1919.67777,-1134.45808,-2734.19246,-1359.21993,-1883.02909,255.73626,-357.16711,2843.31361,-1144.22339,-4427.97403,1076.73223,-2743.33673,-1890.52787,-430.00329,-1909.87429,2774.71567,84.20944,-4752.53963,1514.19375,-1254.35215,892.98801,-3057.91851,-1279.15912,-2535.41349,1117.66674,2344.4484,-1117.08951
"ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","num","Molecular","ssGSEA",-756.81897,246.17822,-2053.76263,-1278.4003,-3897.12045,-3430.98875,1230.64135,-2851.2739,835.50406,-2927.73635,1200.00493,-1164.28293,-241.01772,-425.83829,1208.95127,-1335.08899,-1157.44674,-2809.40755,-2098.54872,-294.7914,64.48738,849.44586,-657.82361,718.39421,832.84055,68.00402,-593.44005,-1723.97106,-835.93927,403.17564,620.89628,209.69447,529.34545,2029.3917,1092.75043,-246.15275,180.05211,1087.11198,-1071.46781,-843.33528,-319.05753,-1278.39453,3623.44992,-1819.19407,-1120.77416,-2073.51554,-2615.10627,-3729.74553,19.50699,112.66984,-2824.02039,1040.63597,-2062.71296,-1679.8797,-3131.1679,-2351.65495,895.23396,-437.65519,-660.43954,-2556.29106,769.39337,1345.00136,-291.38205,-4175.62784
"ST_TUMOR_NECROSIS_FACTOR_PATHWAY","num","Molecular","ssGSEA",-556.59213,-378.9461,2339.77423,976.46898,-71.85978,-2723.8837,-1672.69436,119.0704,-3596.10119,3303.43536,-1832.69708,-2945.45106,-2684.00076,-1217.25025,-107.79394,-342.82507,1493.36049,-3304.07919,-4863.56512,-4491.70273,-5637.63816,-2086.42293,-899.36735,-2301.72176,-576.06157,1683.50827,-4116.44511,-2250.11325,-1896.22848,-1017.00235,-3756.86635,2788.63454,-426.60297,419.12426,-663.33414,1177.14363,-2464.23509,75.19186,-5054.69559,-3337.45693,-2596.36483,-4153.86103,2382.03618,2103.76753,777.83802,-913.25596,537.05175,-990.18348,1017.14303,-3678.98382,3884.93736,235.03743,-276.80537,-258.61199,-1817.54356,-1046.314,2739.48827,-1866.8738,2077.13277,1547.51257,-2582.62775,-3829.22751,-2256.67955,-567.04042
"ST_ERK1_ERK2_MAPK_PATHWAY","num","Molecular","ssGSEA",-619.18663,1643.92688,965.48475,-219.88333,-2299.09806,-4132.16201,-542.7559,-323.66918,624.04678,-1044.81768,-3277.62676,-2410.54601,342.919,3660.33869,1411.83689,-610.37303,1516.74401,-2621.69705,773.83856,-2071.46802,-2509.65793,-115.95318,-409.62829,-283.96297,151.38383,2337.34999,-3724.2931,-3860.61066,1369.03568,-553.17167,216.26299,230.79531,1108.90236,907.57765,2177.65019,3100.64824,18.79284,2332.70435,-2371.91171,-1956.83896,-1252.35124,-4063.41615,2133.9801,382.29728,1696.83112,-1666.44831,-2294.95642,-432.13556,1342.62342,-799.47459,750.11062,402.12723,1548.6906,-184.21868,998.89047,-1652.43262,-167.38211,275.59374,2396.82725,-65.43792,-2475.91948,-2706.86578,-3610.03276,-3619.25052
"ST_GA12_PATHWAY","num","Molecular","ssGSEA",-947.18906,-115.5602,674.31677,902.33404,-1854.46417,-2054.03172,-1146.9183,-589.9936,201.9791,309.66543,-2250.3552,1143.93446,38.07963,2092.12276,63.5734,-1464.5915,-464.65136,-2787.85292,-4515.6741,-737.25852,-1985.12431,2023.80085,-2282.1696,1378.65779,647.61878,1148.19998,-1399.22244,-170.95106,-442.45413,1007.45021,-735.93085,409.87786,-1232.21569,2672.29359,1157.66906,-2703.27154,-1136.95588,542.35621,-2751.68471,704.0956,335.70773,-1639.11903,1636.97425,-859.0078,3459.74917,-727.83999,-1538.74278,-2357.55657,3423.91072,538.88664,3105.44785,3598.57462,-1300.59353,-2634.60348,-719.13202,-1434.99915,4123.30972,-955.08253,733.5067,-1337.13811,1073.20719,602.75416,-1915.96314,-159.03997
"ST_G_ALPHA_S_PATHWAY","num","Molecular","ssGSEA",-971.62666,1134.16533,-1814.03692,-261.24862,-5609.0406,-2021.80671,-2433.56566,-1392.38085,-515.57089,-1151.92908,3571.76562,-1932.17648,-373.62433,1000.23516,-779.76259,-2546.08422,1616.16322,-3745.17181,-2838.00522,124.65797,-2836.36438,317.94269,-1256.36669,-1474.59243,723.16334,-1466.79849,-3703.24191,367.55058,-1247.79463,-1469.64428,525.28309,-787.9522,351.56399,-1412.9273,3191.18654,1988.45492,967.51774,47.12116,-923.60843,-148.9995,-1956.48856,-2574.86289,801.79167,-4182.51593,1462.84701,-3139.42667,-3677.92747,-2895.67395,-1767.22336,-578.77213,-2740.54374,-903.67822,-2140.66575,1287.92987,-3489.62999,-3137.53596,-1819.15245,194.00012,-1348.05854,-2054.05868,668.9686,1331.80855,2505.59966,-4566.87175
"ST_G_ALPHA_I_PATHWAY","num","Molecular","ssGSEA",-1568.20795,-1393.84701,-856.08842,-407.02059,-4178.60246,-2773.46429,-753.3533,-589.12115,-46.23342,-263.2889,-923.68401,-550.32085,82.86052,1613.94627,-1031.36714,-484.37007,889.28738,-2047.89446,-3634.10516,-1659.30592,-859.90135,3157.82118,-1845.51555,50.1592,-502.7424,2642.86491,-2423.72936,-1526.39514,1265.29245,-1257.61007,-423.80871,1996.69469,1163.51067,1789.24497,40.59729,-369.20874,502.66353,-908.67933,-1439.19827,-423.40793,-2486.75575,-2233.86854,2580.28207,-1683.43232,988.61089,-4899.17227,-2195.6355,-1946.04905,-444.63423,-116.54612,482.94443,386.38333,565.45878,-592.95916,-3544.12314,-2633.58696,3337.59603,857.24293,919.66034,-2747.07948,-882.28739,945.59109,1199.64322,-4370.83106
"ST_P38_MAPK_PATHWAY","num","Molecular","ssGSEA",-427.36149,640.9735,-819.61914,464.94874,-3323.87769,-1508.64479,1326.89993,-1500.10564,-1665.91531,-1752.78215,-907.08674,-1317.09275,-2495.70759,2613.33469,1613.66173,-916.34106,1778.26482,-3692.70689,-1247.37489,-3356.48578,-1872.72113,227.04691,-526.72123,-1052.29293,-326.48697,-924.40438,-1370.55286,-2787.09707,-35.24869,183.03178,-1700.6384,-537.39408,767.55383,1800.62864,2060.99668,1590.37152,536.16535,-423.65517,-1538.91344,447.92231,-147.41925,-3210.19432,1056.87867,-236.11929,1215.31665,-2131.58167,-1622.97537,-1569.94746,1147.54877,-875.61822,-225.82668,2490.30745,-1514.31154,1113.38538,-166.38624,-2667.55515,231.75843,-153.85249,702.25386,141.63606,-1726.02161,-3752.90318,-2331.96282,-2730.92481
