Feature,Data_Type,Category,Sub_Category,ACH-000657,ACH-001278,ACH-000713,ACH-001042,ACH-000256,ACH-000278,ACH-000123,ACH-001048,ACH-000608,ACH-001063,ACH-000906,ACH-000574,ACH-000542,ACH-002140,ACH-000324,ACH-000237,ACH-000132,ACH-002149,ACH-000524,ACH-000796,ACH-000001,ACH-000116,ACH-000704,ACH-000091,ACH-000688,ACH-000291,ACH-002181,ACH-002182,ACH-000617,ACH-001151,ACH-000696,ACH-000527,ACH-000947,ACH-000443,ACH-000646,ACH-000409,ACH-000663,ACH-001374,ACH-001628,ACH-001630,ACH-001632,ACH-000719,ACH-000701,ACH-000811,ACH-000460,ACH-001403,ACH-000048,ACH-000885,ACH-000430,ACH-001418
minimum_N_F1,num,Nuclear,Nuclear,0.728464419,0.56920078,0.635964912,0.822622108,0.67268623,0.645093946,0.920245399,0.6828125,0.695402299,0.552147239,0.690789474,0.66086351,0.757575758,0.77752809,0.700772201,0.699140401,0.473909324,0.810559006,0.561847988,0.600950119,0.485254692,0.578181818,0.768518519,0.61732852,0.690399137,0.81981982,0.475699558,0.674698795,0.676850764,0.624454148,0.588301462,0.622900763,0.752556237,0.650735294,0.595446585,0.612244898,0.745886654,0.701897019,0.618541033,0.607079646,0.635638298,0.796033994,0.673492605,0.657082002,0.670588235,0.650705955,0.61965812,0.623556582,0.861111111,0.549407115
1thPercentile_N_F1,num,Nuclear,Nuclear,0.748636919,0.790585956,0.717456437,0.884138919,0.704805507,0.893997619,0.94764881,0.820697426,0.719161701,0.732583305,0.886152089,0.72734528,0.806852608,0.810996185,0.747817612,0.799419847,0.776785484,0.897402476,0.706105641,0.827263178,0.649579231,0.734373472,0.82081746,0.724543483,0.775616939,0.89586441,0.904465855,0.839373456,0.801661577,0.846164712,0.750136714,0.697540326,0.872306675,0.742546573,0.760356381,0.815825742,0.817099006,0.875941642,0.781924212,0.773269445,0.677744734,0.881477301,0.928388233,0.800536813,0.811197035,0.723960134,0.778144078,0.731526419,0.889020519,0.632962214
5thPercentile_N_F1,num,Nuclear,Nuclear,0.924200385,0.898936789,0.89806477,0.94687546,0.862084914,0.951453442,0.960641127,0.935291976,0.892810017,0.860398386,0.957665119,0.902215432,0.902236783,0.931445486,0.842841058,0.910071301,0.914768889,0.954154875,0.850890196,0.93062007,0.764483533,0.848415998,0.921296784,0.845829615,0.883695708,0.943958152,0.955153996,0.949807692,0.924102848,0.938968224,0.888138943,0.830111775,0.941107766,0.853745039,0.868382101,0.942687736,0.914974535,0.955566941,0.88308516,0.851021206,0.856192386,0.949925286,0.957189784,0.927650454,0.935926702,0.895960661,0.895040783,0.854352253,0.950820393,0.803647116
10thPercentile_N_F1,num,Nuclear,Nuclear,0.957877964,0.943129879,0.931657826,0.963633947,0.90944052,0.957475335,0.966318826,0.957579497,0.936527008,0.91954023,0.963895909,0.926465539,0.923600736,0.949184408,0.922792147,0.947871602,0.946628617,0.961883293,0.937433626,0.951803355,0.847538337,0.922139856,0.944139343,0.917791673,0.922647067,0.96023089,0.962903425,0.958599678,0.952575225,0.960845601,0.935655517,0.887854308,0.957080204,0.907833447,0.926046168,0.957825531,0.948807534,0.963153613,0.916484601,0.937118627,0.930366981,0.964027698,0.963714382,0.951613129,0.958083832,0.936499242,0.931999128,0.91069747,0.959781016,0.884508707
25thPercentile_N_F1,num,Nuclear,Nuclear,0.969369369,0.961678832,0.964071856,0.971524402,0.957052798,0.967649161,0.971301671,0.96875,0.96469549,0.959519988,0.972265409,0.960992908,0.955175167,0.965941334,0.963154581,0.966109125,0.967213115,0.969259229,0.971246006,0.966611018,0.938792611,0.962301587,0.967342048,0.95640327,0.958951008,0.96975089,0.9702018,0.968925214,0.970705674,0.970128023,0.963126844,0.943459936,0.968782782,0.955727121,0.961661342,0.969209222,0.964985409,0.970117922,0.952639371,0.959042681,0.965409931,0.970961887,0.969984177,0.967078189,0.968902251,0.96115657,0.964232462,0.949554896,0.969268116,0.952662722
median_N_F1,num,Nuclear,Nuclear,0.975370952,0.970225431,0.972705558,0.975982533,0.972582973,0.972886762,0.976149846,0.974512283,0.973154362,0.972803347,0.976065806,0.971843576,0.967517401,0.973969378,0.971932638,0.9730821,0.974218593,0.974700399,0.976718303,0.972623558,0.970166775,0.973542616,0.974512744,0.971539517,0.972051864,0.974691972,0.975376197,0.974880383,0.975674012,0.97576141,0.972636251,0.965235174,0.974811083,0.973924381,0.972583491,0.973963982,0.972839506,0.975409836,0.969325153,0.973778308,0.973913043,0.975684875,0.974484789,0.973955672,0.974789916,0.971061093,0.973395931,0.969947805,0.974111358,0.970605516
mean_N_F1,num,Nuclear,Nuclear,0.967361298,0.960521793,0.960320909,0.972321782,0.955076578,0.969650179,0.974596963,0.968462416,0.960812217,0.956003181,0.972845078,0.960258757,0.957566742,0.9667755,0.957633652,0.964047846,0.964904395,0.971282653,0.96158301,0.966222003,0.937824893,0.957707455,0.965965881,0.954044039,0.959061585,0.970950862,0.971022793,0.969696047,0.968071756,0.969849937,0.960498462,0.945477455,0.969255124,0.955506543,0.958191802,0.968613529,0.965807584,0.971642933,0.955242602,0.958508361,0.958321698,0.971848188,0.972176441,0.966308738,0.967668429,0.960118925,0.961448374,0.952238072,0.971113724,0.947227522
75thPercentile_N_F1,num,Nuclear,Nuclear,0.979468599,0.976138829,0.977301387,0.979631672,0.977867899,0.97848125,0.979342399,0.978670013,0.977691508,0.97787388,0.979930294,0.976777939,0.974209394,0.978169875,0.977170015,0.978156209,0.979407979,0.97796547,0.980818414,0.97752809,0.977192504,0.978310502,0.978248404,0.977290525,0.97745664,0.97826087,0.979266034,0.978766699,0.979348523,0.979238754,0.977366255,0.97401659,0.978723404,0.978539782,0.978193146,0.978095401,0.978255238,0.979188338,0.976323295,0.977678571,0.978593272,0.979423868,0.978494624,0.97810219,0.978901241,0.977077364,0.978584923,0.975903614,0.978561148,0.977660972
90thPercentile_N_F1,num,Nuclear,Nuclear,0.981898087,0.980816968,0.980228046,0.982461308,0.981403781,0.981583783,0.982245891,0.982153161,0.980765946,0.981195433,0.98280537,0.981146078,0.979751317,0.981420364,0.98099202,0.980875306,0.98296953,0.981906511,0.983011865,0.981174778,0.981157344,0.981136515,0.981355388,0.980672534,0.980855558,0.980952381,0.982936049,0.981601541,0.982425749,0.981663339,0.981073914,0.978819391,0.981461327,0.981567245,0.981153248,0.981273379,0.981870372,0.982529359,0.979915166,0.98102103,0.981331631,0.982237973,0.981471278,0.981936881,0.982142857,0.980496261,0.98160412,0.980263448,0.981481481,0.981110403
95thPercentile_N_F1,num,Nuclear,Nuclear,0.983984621,0.982723692,0.982429047,0.98394103,0.982646208,0.983888817,0.984365827,0.983775103,0.98246175,0.982710025,0.984070117,0.982618772,0.982217797,0.982639752,0.982766252,0.982675252,0.98416758,0.983898826,0.984686501,0.983742821,0.982862417,0.982658188,0.983338246,0.982476765,0.982560123,0.982394358,0.984334604,0.983511831,0.983397622,0.983144685,0.982673676,0.980673017,0.982919645,0.9830929,0.982305651,0.982398048,0.983402939,0.98388196,0.982173817,0.982304134,0.983061605,0.984177175,0.983774544,0.98320264,0.983883961,0.982304093,0.983044967,0.982300885,0.983296728,0.98252151
99thPercentile_N_F1,num,Nuclear,Nuclear,0.988538514,0.985781544,0.984760871,0.986896252,0.986089836,0.987024936,0.987685185,0.987053701,0.986563113,0.985003337,0.987729279,0.984339445,0.986027731,0.985562415,0.985826543,0.984859259,0.986694327,0.987918634,0.989310881,0.985992278,0.985576021,0.985518872,0.986476393,0.98580661,0.98452797,0.984918249,0.986703602,0.986208052,0.985563819,0.986101188,0.985164963,0.984282104,0.986473119,0.98673543,0.984350829,0.986315632,0.986825581,0.986405405,0.985515461,0.98602999,0.986288403,0.986880352,0.987040772,0.986392573,0.986760063,0.985355393,0.985765416,0.986361756,0.988238605,0.985321734
