Feature,ACH-001278,ACH-001042,ACH-001048,ACH-001063,ACH-000574,ACH-002140,ACH-000542,ACH-000116,ACH-002181,ACH-002182,ACH-000617,ACH-001151,ACH-000646,ACH-000409,ACH-001630,ACH-001632,ACH-000460,ACH-001403,ACH-001628,ACH-000256,ACH-000608,ACH-000123,ACH-000278,ACH-000704,ACH-000657,ACH-000091,ACH-000688,ACH-000885,ACH-000048,ACH-000291,ACH-001374,ACH-000906,ACH-001418,ACH-000696,ACH-000001,ACH-000713,ACH-000811,ACH-000719,ACH-000701,ACH-000524,ACH-000430,ACH-000796,ACH-000527,ACH-000443,ACH-000663,ACH-002149,ACH-000324,ACH-000132,ACH-000237,ACH-000947
A1BG,1.454175893,,3.485426827,,3.757023247,,0.124328135,4.653633311,,,4.607034346,0.056583528,2.855989697,4.267535798,1.220329955,2.887525271,3.775050541,5.830356747,3.587364991,4.513490746,0,4.889473543,5.246408087,5.128870759,3.628773595,5.880195729,4.793375711,5.565901767,4.196921734,0.321928095,5.421896512,4.910252963,3.486714373,4.287620044,3.116031993,5.212958363,5.152994605,0.910732662,0.150559677,4.315421316,0.028569152,0.056583528,3.886550147,4.658782734,1.049630768,,0.275007047,3.382667253,3.568032105,4.446917865
A1CF,0,,0,,0.042644337,,0.042644337,0,,,0,0.042644337,0.028569152,0.014355293,0,0,0.028569152,0.042644337,0,0.014355293,0.176322773,0.014355293,0.014355293,0,2.778208576,0.028569152,0.042644337,0.014355293,0,3.176322773,0.028569152,0.028569152,0.176322773,0.014355293,0.056583528,0,0.028569152,0,0,0.014355293,0,0.042644337,0.028569152,0.042644337,0,,0.028569152,0.014355293,0.028569152,0.056583528
A2M,0.992768431,,0.464668267,,0.201633861,,0.298658316,0,,,0.163498732,0.422233001,0.097610797,1.201633861,0.056583528,0.124328135,0.310340121,3.937344392,0.014355293,2.495695163,3.17951105,7.007756141,0.286881148,0.014355293,0.389566812,0.014355293,0.263034406,0.214124805,6.903881846,6.806968434,3.973611276,0.333423734,0.669026766,0.310340121,0.22650853,1.981852653,0.111031312,0.097610797,0.150559677,5.883132016,0.070389328,0.097610797,0.163498732,0.367371066,0,,0.084064265,0.250961574,0.214124805,0.250961574
A2ML1,4.063502942,,1.021479727,,0.014355293,,0.042644337,0.056583528,,,0.028569152,0,0.056583528,0,0.070389328,0.028569152,0.056583528,0.014355293,0,0.097610797,0,0.084064265,0,0.014355293,0.411426246,0,0.014355293,0,0.014355293,0.014355293,0.23878686,0.014355293,0.014355293,0.014355293,0.111031312,0.286881148,0.097610797,0,3.9800253,0.176322773,0.014355293,0.22650853,0.111031312,0.042644337,0.097610797,,0.014355293,0,0,0.056583528
A3GALT2,0,,0,,0,,0,0,,,0.028569152,0,0,0,0,0,0.028569152,0,0,0,0,0,0,0,0,0,0,0,0.028569152,0,0,0,0.028569152,0,0,0,0,0,0,0,0,0,0.028569152,0,0.028569152,,0,0,0.042644337,0
A4GALT,2.272023189,,3.724650272,,0.86393845,,1.3950628,4.59275601,,,3.817623258,2.350497247,3.44625623,1.438292852,1.545968369,0.59454855,3.56193706,1.895302621,4.522306893,1.589763487,3.587364991,2.289834465,3.735522177,4.842476063,0.790772038,4.135863165,4.650764559,1.807354922,2.244887059,0.815575429,3.35614381,0.014355293,1.641546029,2.498250868,1.03562391,3.813524689,4.328405659,3.075532631,3.367371066,3.516015147,0.150559677,1.952333566,4.339137385,1.176322773,2.613531653,,4.510329019,2.98550043,5.144454314,2.23878686
A4GNT,0.097610797,,0,,0.150559677,,0,0.056583528,,,0.042644337,0.070389328,0,0.056583528,0,0,0.028569152,0.22650853,0.378511623,0,0.028569152,0,0.056583528,0,0.042644337,0.056583528,0.056583528,0.137503524,0.042644337,2.869871406,0.189033824,0.028569152,0,0,0.176322773,0,0.042644337,0,0.042644337,0.097610797,0.042644337,0.014355293,0.056583528,0.042644337,0.042644337,,0.176322773,0.014355293,0.111031312,0.070389328
AAAS,6.028127082,,5.247168,,5.466300829,,5.680605666,6.112074551,,,5.258141996,5.496014873,4.381975479,6.170325694,4.887525271,5.043081982,5.175524601,4.945794957,5.17951105,4.539158811,4.882643049,5.701826258,5.882153917,6.068240861,6.156639311,5.902797158,5.596338864,5.813524689,6.233619677,5.747118816,5.736334277,6.100557221,5.13627343,5.924812504,5.700717133,5.40053793,5.972692654,5.651912745,5.60496087,5.088735246,5.787380222,4.785550552,5.287620044,5.462706751,5.053111336,,5.891176125,4.697662633,5.61117238,5.664767255
AACS,4.212569339,,3.489286023,,3.965322548,,3.025028794,5.4747605,,,3.945794957,3.234194723,3.434294618,3.323370069,3.751677946,3.410069692,4.300855871,4.169123281,4.286881148,3.902073579,3.795974694,5.465974465,3.422233001,3.56193706,3.775050541,4.062639828,3.085764554,3.941106311,4.313245852,5.411765185,4.49441561,3.555816155,4.254745198,4.417515003,4.14404637,5.475733431,3.885574364,4.718635616,4.689299161,3.9202933,3.389566812,3.882643049,3.92314918,3.992768431,3.970853654,,3.357552005,4.14404637,3.902073579,4.415488271
AADAC,0,,3.948600847,,0,,2.669026766,0.084064265,,,0,1.304511042,0.042644337,1.847996907,0.014355293,0.176322773,2.778208576,1.914564523,0,0.321928095,1.163498732,0.150559677,0.23878686,0,0.014355293,0.014355293,0.042644337,0,0.097610797,4.731726323,0,0,1.63691458,0,0.790772038,0.565597176,0.111031312,0,0.124328135,0.275007047,0.014355293,3.82984956,0,0.124328135,0.042644337,,0,0,3.827819025,0.042644337
